Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,2.000455,1.848521,1.848521,1.023901,1371300
1980-03-18,0.000000,1.916047,1.831640,1.907607,1.056629,2348300
1980-03-19,0.000000,2.034218,1.932929,1.932929,1.070655,2337900
1980-03-20,0.000000,2.017336,1.958251,1.983573,1.098707,1183700
1980-03-21,0.000000,1.992014,1.932929,1.932929,1.070655,290100
1980-03-24,0.000000,1.949810,1.848521,1.882285,1.042603,969100
1980-03-25,0.000000,1.890725,1.789436,1.806318,1.000525,1673300
1980-03-26,0.000000,1.823199,1.730351,1.730351,0.958447,3354300
1980-03-27,0.000000,1.738792,1.519333,1.688148,0.935070,3666200
1980-03-28,0.000000,1.848521,1.671266,1.848521,1.023901,2949600
1980-03-31,0.000000,1.975133,1.873844,1.932929,1.070655,665200
1980-04-01,0.000000,2.000455,1.949810,2.000455,1.108058,1213600
1980-04-02,0.000000,2.017336,1.958251,1.958251,1.084681,1372000
1980-04-03,0.000000,1.949810,1.907607,1.932929,1.070655,899600
1980-04-07,0.000000,1.932929,1.856962,1.873844,1.037927,976100
1980-04-08,0.000000,1.899166,1.856962,1.899166,1.051953,489700
1980-04-09,0.000000,1.890725,1.873844,1.882285,1.042603,714100
1980-04-10,0.000000,1.958251,1.890725,1.949810,1.080006,1469100
1980-04-11,0.000000,1.975133,1.949810,1.966692,1.089356,1324300
1980-04-14,0.000000,1.949810,1.924488,1.949810,1.080006,574400
1980-04-15,0.000000,1.958251,1.932929,1.941370,1.075330,169700
1980-04-16,0.000000,1.992014,1.856962,1.865403,1.033252,1063500
1980-04-17,0.000000,1.882285,1.823199,1.823199,1.009875,1133100
1980-04-18,0.000000,1.848521,1.806318,1.823199,1.009875,803900
1980-04-21,0.000000,1.806318,1.738792,1.755673,0.972472,521100
1980-04-22,0.000000,1.975133,1.831640,1.958251,1.084681,1381000
1980-04-23,0.000000,2.017336,1.856962,1.856962,1.028577,2691000
1980-04-24,0.000000,1.924488,1.823199,1.916047,1.061304,1047300
1980-04-25,0.000000,1.958251,1.865403,1.958251,1.084681,563200
1980-04-28,0.000000,2.059540,1.966692,2.042659,1.131435,778000
1980-04-29,0.000000,2.076421,2.025777,2.042659,1.131435,279800
1980-04-30,0.000000,2.143947,2.059540,2.127066,1.178188,1131500
1980-05-01,0.000000,2.143947,2.067981,2.076421,1.150136,542200
1980-05-02,0.000000,2.118625,2.059540,2.110184,1.168837,411300
1980-05-05,0.000000,2.194592,2.093303,2.194592,1.215590,889900
1980-05-06,0.000000,2.312762,2.186151,2.245236,1.243642,1700400
1980-05-07,0.000000,2.321203,2.245236,2.304321,1.276370,521100
1980-05-08,0.000000,2.321203,2.262118,2.278999,1.262344,1269200
1980-05-09,0.000000,2.278999,2.228355,2.262118,1.252994,723600
1980-05-12,0.000000,2.329643,2.236795,2.329643,1.290397,783100
1980-05-13,0.000000,2.354966,2.287440,2.338084,1.295071,596200
1980-05-14,0.000000,2.354966,2.295881,2.304321,1.276370,317100
1980-05-15,0.000000,2.312762,2.253677,2.253677,1.248318,1262400
1980-05-16,0.000000,2.262118,2.219914,2.219914,1.229617,445000
1980-05-19,0.000000,2.253677,2.169270,2.245236,1.243642,396100
1980-05-20,0.000000,2.278999,2.219914,2.236795,1.238968,577900
1980-05-21,0.000000,2.245236,2.194592,2.236795,1.238968,900200
1980-05-22,0.000000,2.329643,2.245236,2.304321,1.276370,637000
1980-05-23,0.000000,2.380288,2.329643,2.329643,1.290397,775100
1980-05-27,0.000000,2.405610,2.312762,2.397169,1.327799,932700
1980-05-28,0.000000,2.447814,2.388729,2.447814,1.355851,1017400
1980-05-29,0.000000,2.447814,2.312762,2.312762,1.281045,684700
1980-05-30,0.000000,2.312762,2.262118,2.287440,1.267020,1989700
1980-06-02,0.000000,2.388729,2.287440,2.346525,1.299746,509900
1980-06-03,0.000000,2.363406,2.312762,2.354966,1.304423,529200
1980-06-04,0.000000,2.456255,2.338084,2.414051,1.337150,1035300
1980-06-05,0.000000,2.430933,2.304321,2.304321,1.276370,540000
1980-06-06,0.000000,2.363406,2.312762,2.354966,1.304423,614200
1980-06-09,0.000000,2.380288,2.329643,2.354966,1.304423,1062600
1980-06-10,0.000000,2.363406,2.338084,2.346525,1.299746,620700
1980-06-11,0.000000,2.371847,2.338084,2.354966,1.304423,1072500
1980-06-12,0.000000,2.363406,2.312762,2.312762,1.281045,577100
