Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.125844,6.160982,6.125844,6.125844,1.415556,59700
1962-01-03,6.125844,6.219546,6.114130,6.219546,1.437208,79600
1962-01-04,6.219546,6.266398,6.219546,6.219546,1.437208,86000
1962-01-05,6.219546,6.254685,6.196121,6.207834,1.434502,75300
1962-01-08,6.184408,6.184408,5.950150,5.997002,1.385784,100300
1962-01-09,5.997002,6.090704,5.973576,5.973576,1.380370,68900
1962-01-10,5.973576,5.997002,5.950150,5.985289,1.383076,36900
1962-01-11,5.961863,5.961863,5.926724,5.950150,1.374956,29800
1962-01-12,5.950150,5.961863,5.809595,5.809595,1.342478,28400
1962-01-15,5.762743,5.762743,5.692466,5.692466,1.315411,68900
1962-01-16,5.669041,5.669041,5.622189,5.622189,1.299172,29800
1962-01-17,5.622189,5.645615,5.622189,5.622189,1.299172,85300
1962-01-18,5.622189,5.622189,5.622189,5.622189,1.299172,96000
1962-01-19,5.622189,5.680753,5.622189,5.645615,1.304586,107300
1962-01-22,5.669041,5.751031,5.669041,5.669041,1.309998,74700
1962-01-23,5.669041,5.727605,5.633902,5.633902,1.301878,36900
1962-01-24,5.633902,5.633902,5.481634,5.598763,1.293759,49000
1962-01-25,5.598763,5.610476,5.540199,5.540199,1.280225,40500
1962-01-26,5.540199,5.563624,5.540199,5.563624,1.285639,40500
1962-01-29,5.563624,5.598763,5.540199,5.551911,1.282932,45400
1962-01-30,5.563624,5.610476,5.563624,5.610476,1.296466,32600
1962-01-31,5.610476,5.622189,5.587050,5.598763,1.293759,59700
1962-02-01,5.587050,5.587050,5.505060,5.563624,1.285639,72500
1962-02-02,5.563624,5.598763,5.528486,5.540199,1.280225,32600
1962-02-05,5.575337,5.610476,5.575337,5.575337,1.288345,77500
1962-02-06,5.540199,5.540199,5.458209,5.505060,1.278553,43300
1962-02-07,5.516773,5.575337,5.516773,5.540199,1.286713,49000
1962-02-08,5.540199,5.563624,5.481634,5.516773,1.281272,55400
1962-02-09,5.516773,5.551911,5.458209,5.458209,1.267671,36200
1962-02-12,5.458209,5.469921,5.446496,5.446496,1.264951,17700
1962-02-13,5.505060,5.540199,5.505060,5.516773,1.281272,66800
1962-02-14,5.481634,5.481634,5.399644,5.434783,1.262230,60400
1962-02-15,5.434783,5.528486,5.387931,5.387931,1.251349,66800
1962-02-16,5.387931,5.469921,5.387931,5.469921,1.270391,59700
1962-02-19,5.481634,5.528486,5.481634,5.516773,1.281272,32000
1962-02-20,5.516773,5.610476,5.493347,5.610476,1.303035,43300
1962-02-21,5.622189,5.751031,5.622189,5.657328,1.313916,60400
1962-02-23,5.657328,5.704179,5.645615,5.692466,1.322078,77500
1962-02-26,5.692466,5.715892,5.598763,5.715892,1.327518,88100
1962-02-27,5.715892,5.739318,5.715892,5.715892,1.327518,29800
1962-02-28,5.715892,5.833021,5.669041,5.669041,1.316637,51200
1962-03-01,5.669041,5.903298,5.645615,5.879873,1.365602,79600
1962-03-02,5.879873,5.973576,5.879873,5.938437,1.379203,44800
1962-03-05,5.938437,6.032140,5.938437,6.020427,1.398246,60400
1962-03-06,6.032140,6.090704,6.032140,6.078992,1.411848,81100
1962-03-07,6.078992,6.114130,6.055566,6.055566,1.406408,49000
1962-03-08,6.055566,6.078992,6.020427,6.055566,1.406408,44800
1962-03-09,6.055566,6.090704,6.055566,6.078992,1.411848,77500
1962-03-12,6.114130,6.242972,6.114130,6.219546,1.444492,58200
1962-03-13,6.219546,6.242972,6.172695,6.231259,1.447212,39000
1962-03-14,6.231259,6.254685,6.231259,6.242972,1.449933,59700
1962-03-15,6.242972,6.301537,6.242972,6.242972,1.449933,44800
1962-03-16,6.266398,6.301537,6.266398,6.278111,1.458092,54000
1962-03-19,6.254685,6.254685,6.055566,6.090704,1.414569,81100
1962-03-20,6.090704,6.137556,6.090704,6.114130,1.420009,27700
1962-03-21,6.114130,6.231259,6.114130,6.207834,1.441772,45400
1962-03-22,6.231259,6.360101,6.231259,6.360101,1.477135,61800
1962-03-23,6.360101,6.418666,6.313250,6.324963,1.468975,70400
1962-03-26,6.324963,6.348388,6.324963,6.324963,1.468975,34800
1962-03-27,6.324963,6.324963,6.207834,6.207834,1.441772,46900
1962-03-28,6.207834,6.231259,6.172695,6.184408,1.436331,39000
1962-03-29,6.149269,6.149269,6.067279,6.067279,1.409128,34800
1962-03-30,6.055566,6.055566,5.915011,5.985289,1.390085,68300
1962-04-02,5.985289,5.997002,5.950150,5.961863,1.384644,41200
1962-04-03,5.961863,6.114130,5.950150,6.114130,1.420009,24100
1962-04-04,6.125844,6.172695,6.125844,6.125844,1.422729,15600
1962-04-05,6.125844,6.125844,5.997002,6.067279,1.409128,91700
1962-04-06,6.078992,6.149269,6.078992,6.078992,1.411848,46900
1962-04-09,6.043853,6.043853,5.997002,6.043853,1.403687,38400
1962-04-10,6.043853,6.067279,5.973576,5.997002,1.392807,9200
1962-04-11,5.997002,6.043853,5.915011,5.915011,1.373764,41200
1962-04-12,5.915011,5.950150,5.903298,5.938437,1.379203,56100
1962-04-13,5.938437,5.973576,5.903298,5.938437,1.379203,68300
1962-04-16,5.938437,5.961863,5.903298,5.961863,1.384644,40500
1962-04-17,5.961863,6.008714,5.950150,6.008714,1.395526,49000
1962-04-18,6.008714,6.055566,5.950150,5.973576,1.387366,44800
1962-04-19,5.973576,6.055566,5.950150,5.961863,1.384644,59700
1962-04-23,5.973576,6.043853,5.973576,6.020427,1.398246,83900
1962-04-24,6.043853,6.090704,6.043853,6.043853,1.403687,49700
1962-04-25,6.043853,6.043853,5.856447,5.856447,1.360162,55400
1962-04-26,5.856447,5.856447,5.774457,5.774457,1.341120,70400
