Date,Open,High,Low,Close,Adj Close,Volume
1981-10-27,0.000000,3.885014,3.807931,3.854181,0.419895,3155400
1981-10-28,0.000000,3.885014,3.838764,3.854181,0.419895,1704000
1981-10-29,0.000000,3.854181,3.823347,3.823347,0.416536,1115600
1981-10-30,0.000000,3.877306,3.807931,3.877306,0.422414,903100
1981-11-02,0.000000,4.039182,3.992931,4.023765,0.438370,2832900
1981-11-03,0.000000,4.062306,4.008348,4.046890,0.440890,2124100
1981-11-04,0.000000,4.062306,3.992931,4.000640,0.435851,761800
1981-11-05,0.000000,4.008348,3.946681,3.946681,0.429972,1289000
1981-11-06,0.000000,3.915848,3.854181,3.869597,0.421574,5863500
1981-11-09,0.000000,3.962098,3.869597,3.931264,0.428293,1382200
1981-11-10,0.000000,3.992931,3.931264,3.962098,0.431652,1997400
1981-11-11,0.000000,3.977515,3.931264,3.977515,0.433331,476400
1981-11-12,0.000000,3.992931,3.946681,3.962098,0.431652,844600
1981-11-13,0.000000,3.962098,3.915848,3.915848,0.426613,869600
1981-11-16,0.000000,3.915848,3.823347,3.915848,0.426613,1513600
1981-11-17,0.000000,4.054598,3.946681,4.039182,0.440050,895000
1981-11-18,0.000000,4.162515,4.070015,4.070015,0.443409,1568900
1981-11-19,0.000000,4.116265,4.070015,4.100848,0.446768,847900
1981-11-20,0.000000,4.131682,4.070015,4.085432,0.445089,717200
1981-11-23,0.000000,4.100848,3.885014,3.946681,0.429972,3297200
1981-11-24,0.000000,3.931264,3.869597,3.900431,0.424934,5314500
1981-11-25,0.000000,4.054598,3.946681,4.008348,0.436691,1529800
1981-11-27,0.000000,4.085432,4.008348,4.085432,0.445089,346100
1981-11-30,0.000000,4.085432,4.054598,4.070015,0.443409,1332800
1981-12-01,0.000000,4.070015,4.039182,4.070015,0.443409,317000
1981-12-02,0.000000,4.085432,4.023765,4.054598,0.441729,531600
1981-12-03,0.000000,4.070015,4.023765,4.070015,0.443409,778300
1981-12-04,0.000000,4.131682,4.070015,4.100848,0.446768,449900
1981-12-07,0.000000,4.085432,4.008348,4.023765,0.438370,1395100
1981-12-08,0.000000,4.008348,3.915848,3.977515,0.433331,846100
1981-12-09,0.000000,4.070015,3.946681,4.070015,0.443409,442500
1981-12-10,0.000000,4.070015,4.023765,4.039182,0.440050,586900
1981-12-11,0.000000,4.054598,3.992931,4.023765,0.438370,388000
1981-12-14,0.000000,3.962098,3.915848,3.915848,0.426613,421500
1981-12-15,0.000000,3.946681,3.885014,3.915848,0.426613,967900
1981-12-16,0.000000,3.962098,3.915848,3.915848,0.426613,247000
1981-12-17,0.000000,3.946681,3.900431,3.946681,0.429972,813700
1981-12-18,0.000000,4.116265,3.946681,4.054598,0.441729,833900
1981-12-21,0.000000,4.070015,3.931264,3.946681,0.429972,530200
1981-12-22,0.000000,4.039182,3.962098,3.992931,0.435011,912000
1981-12-23,0.000000,4.039182,4.008348,4.023765,0.438370,1238600
1981-12-24,0.000000,4.039182,3.946681,3.977515,0.433331,121500
1981-12-28,0.000000,4.039182,4.008348,4.008348,0.436691,500700
1981-12-29,0.000000,4.054598,4.008348,4.039182,0.440050,247000
1981-12-30,0.000000,4.085432,4.008348,4.054598,0.441729,261000
1981-12-31,4.108557,4.131682,4.085432,4.131682,0.450127,193600
1982-01-04,4.208766,4.255016,4.147099,4.224182,0.460205,901300
1982-01-05,4.131682,4.193349,4.070015,4.070015,0.443409,993000
1982-01-06,3.992931,4.039182,3.931264,3.977515,0.433331,871500
1982-01-07,4.039182,4.116265,3.962098,4.116265,0.448448,746700
1982-01-08,4.162515,4.224182,4.085432,4.100848,0.446768,1457700
1982-01-11,4.023765,4.131682,3.915848,3.931264,0.428293,527600
1982-01-12,3.992931,4.039182,3.931264,4.039182,0.440050,564000
1982-01-13,4.039182,4.100848,3.962098,3.962098,0.431652,811500
1982-01-14,4.023765,4.116265,3.931264,4.054598,0.441729,1208000
1982-01-15,4.116265,4.162515,4.054598,4.116265,0.448448,680000
1982-01-18,4.131682,4.208766,4.054598,4.208766,0.458525,398000
1982-01-19,4.177932,4.239599,4.100848,4.100848,0.446768,780500
1982-01-20,4.085432,4.131682,4.023765,4.116265,0.448448,1374100
1982-01-21,4.131682,4.177932,4.085432,4.116265,0.448448,504000
1982-01-22,4.131682,4.162515,4.100848,4.147099,0.451807,632100
1982-01-25,4.100848,4.147099,4.054598,4.147099,0.451807,1150900
1982-01-26,4.162515,4.208766,4.116265,4.131682,0.450127,1926400
1982-01-27,4.193349,4.239599,4.147099,4.162515,0.453487,1277600
1982-01-28,4.270432,4.378349,4.162515,4.316682,0.470282,3531000
1982-01-29,4.393766,4.455433,4.332099,4.440016,0.483719,3258500
1982-02-01,4.347516,4.393766,4.301266,4.316682,0.470282,899100
1982-02-02,4.270432,4.301266,4.239599,4.270432,0.465244,1403200
1982-02-03,4.193349,4.270432,4.100848,4.100848,0.446768,1330300
1982-02-04,4.162515,4.193349,4.131682,4.193349,0.456846,1216100
1982-02-05,4.301266,4.409183,4.193349,4.362933,0.475321,1747800
1982-02-08,4.285849,4.347516,4.224182,4.255016,0.463564,1346500
1982-02-09,4.177932,4.224182,4.116265,4.131682,0.450127,1759900
1982-02-10,4.177932,4.239599,4.116265,4.239599,0.461884,1189200
1982-02-11,4.224182,4.270432,4.177932,4.224182,0.460205,1119600
1982-02-12,4.285849,4.301266,4.255016,4.301266,0.468603,3007800
1982-02-16,4.301266,4.362933,4.224182,4.347516,0.473641,2336500
1982-02-17,4.424600,4.501683,4.347516,4.440016,0.483719,2313000
1982-02-18,4.486267,4.532516,4.440016,4.470850,0.487078,1360400
1982-02-19,4.393766,4.455433,4.332099,4.378349,0.477001,2477600
1982-02-22,4.362933,4.455433,4.270432,4.285849,0.466923,1450300
1982-02-23,4.255016,4.285849,4.224182,4.255016,0.463564,2889600
1982-02-24,4.239599,4.285849,4.177932,4.285849,0.466923,881800
1982-02-25,4.332099,4.378349,4.285849,4.316682,0.470282,3099500
1982-02-26,4.332099,4.362933,4.301266,4.316682,0.470282,347500
1982-03-01,4.301266,4.332099,4.255016,4.285849,0.466923,372600
1982-03-02,4.301266,4.332099,4.270432,4.270432,0.465244,821800
1982-03-03,4.301266,4.347516,4.239599,4.285849,0.466923,1019100
1982-03-04,4.224182,4.285849,4.162515,4.239599,0.461884,2959900
1982-03-05,4.162515,4.193349,4.116265,4.131682,0.450127,1884800
1982-03-08,4.208766,4.239599,4.162515,4.162515,0.453487,837200
1982-03-09,4.070015,4.131682,3.992931,4.085432,0.445089,3139200
1982-03-10,4.054598,4.116265,3.992931,4.008348,0.438212,2419400
1982-03-11,3.977515,4.054598,3.900431,3.931264,0.429785,1116300
1982-03-12,3.823347,3.900431,3.746264,3.854181,0.421358,2060800
1982-03-15,3.962098,3.992931,3.915848,3.992931,0.436526,988900
1982-03-16,4.023765,4.070015,3.977515,3.992931,0.436526,1265500
1982-03-17,3.992931,4.023765,3.962098,4.008348,0.438212,755500
1982-03-18,4.054598,4.100848,3.992931,4.070015,0.444953,920800
1982-03-19,4.100848,4.147099,4.070015,4.116265,0.450009,853400
1982-03-22,4.193349,4.255016,4.116265,4.224182,0.461808,1603500
1982-03-23,4.270432,4.301266,4.224182,4.224182,0.461808,1177800
1982-03-24,4.162515,4.193349,4.131682,4.147099,0.453381,1131800
1982-03-25,4.177932,4.208766,4.131682,4.131682,0.451695,1449600
1982-03-26,4.100848,4.131682,4.054598,4.085432,0.446639,1286400
1982-03-29,4.054598,4.085432,4.023765,4.070015,0.444953,990400
1982-03-30,3.992931,4.070015,3.900431,4.008348,0.438212,3052300
1982-03-31,3.992931,4.023765,3.946681,3.946681,0.431470,675200
1982-04-01,4.039182,4.116265,3.946681,4.085432,0.446639,1066600
1982-04-02,4.147099,4.177932,4.116265,4.162515,0.455066,1150900
1982-04-05,4.239599,4.316682,4.162515,4.193349,0.458437,1085400
1982-04-06,4.208766,4.239599,4.177932,4.224182,0.461808,1096100
1982-04-07,4.255016,4.285849,4.208766,4.285849,0.468549,866700
1982-04-08,4.301266,4.316682,4.270432,4.270432,0.466864,1112300
1982-04-12,4.224182,4.239599,4.193349,4.193349,0.458437,784600
1982-04-13,4.239599,4.285849,4.193349,4.270432,0.466864,1730900
1982-04-14,4.224182,4.270432,4.177932,4.193349,0.458437,215300
1982-04-15,4.208766,4.239599,4.162515,4.239599,0.463493,280200
1982-04-16,4.224182,4.270432,4.177932,4.208766,0.460123,877000
1982-04-19,4.255016,4.301266,4.208766,4.239599,0.463493,1336900
1982-04-20,4.270432,4.301266,4.224182,4.239599,0.463493,997800
1982-04-21,4.162515,4.224182,4.085432,4.085432,0.446639,1836200
1982-04-22,4.131682,4.162515,4.085432,4.116265,0.450009,1525800
