Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.371171,1.325465,1.325465,0.387432,45500
1980-03-18,0.000000,1.371171,1.325465,1.325465,0.387432,32300
1980-03-19,0.000000,1.371171,1.325465,1.325465,0.387432,12400
1980-03-20,0.000000,1.371171,1.325465,1.325465,0.387432,17100
1980-03-21,0.000000,1.371171,1.325465,1.325465,0.387432,5800
1980-03-24,0.000000,1.302612,1.256907,1.256907,0.367392,130900
1980-03-25,0.000000,1.279759,1.234054,1.234054,0.360712,34600
1980-03-26,0.000000,1.279759,1.234054,1.234054,0.360712,5800
1980-03-27,0.000000,1.234054,1.188348,1.188348,0.347353,60700
1980-03-28,0.000000,1.119789,1.074084,1.074084,0.313953,124300
1980-03-31,0.000000,1.119789,1.074084,1.074084,0.313953,10500
1980-04-01,0.000000,1.131216,1.085510,1.085510,0.317293,45500
1980-04-02,0.000000,1.142642,1.096937,1.096937,0.320633,25700
1980-04-03,0.000000,1.142642,1.096937,1.096937,0.320633,36900
1980-04-07,0.000000,1.142642,1.096937,1.096937,0.320633,12400
1980-04-08,0.000000,1.154069,1.108363,1.108363,0.323973,40900
1980-04-09,0.000000,1.154069,1.108363,1.108363,0.323973,38900
1980-04-10,0.000000,1.176922,1.131216,1.131216,0.330653,40900
1980-04-11,0.000000,1.176922,1.131216,1.131216,0.330653,10500
1980-04-14,0.000000,1.165495,1.119789,1.119789,0.327313,102400
1980-04-15,0.000000,1.165495,1.119789,1.119789,0.327313,15100
1980-04-16,0.000000,1.176922,1.131216,1.131216,0.330653,56400
1980-04-17,0.000000,1.176922,1.131216,1.131216,0.330653,19100
1980-04-18,0.000000,1.176922,1.131216,1.131216,0.330653,8500
1980-04-21,1.131216,1.131216,1.131216,1.131216,0.330653,0
1980-04-22,0.000000,1.176922,1.131216,1.131216,0.330653,28000
1980-04-23,0.000000,1.176922,1.131216,1.131216,0.330653,36900
1980-04-24,0.000000,1.176922,1.131216,1.131216,0.330653,36900
1980-04-25,0.000000,1.176922,1.131216,1.131216,0.330653,15100
1980-04-28,0.000000,1.188348,1.142642,1.142642,0.333993,25700
1980-04-29,0.000000,1.176922,1.131216,1.131216,0.330653,65400
1980-04-30,0.000000,1.199774,1.154069,1.154069,0.337333,78300
1980-05-01,0.000000,1.211201,1.165495,1.165495,0.340673,58800
1980-05-02,0.000000,1.211201,1.165495,1.165495,0.340673,8500
1980-05-05,0.000000,1.245480,1.199774,1.199774,0.350692,65400
1980-05-06,0.000000,1.302612,1.256907,1.256907,0.367392,74000
1980-05-07,0.000000,1.302612,1.256907,1.256907,0.367392,12400
1980-05-08,0.000000,1.291186,1.245480,1.245480,0.364052,45500
1980-05-09,0.000000,1.279759,1.234054,1.234054,0.360712,21700
1980-05-12,0.000000,1.279759,1.234054,1.234054,0.360712,135200
1980-05-13,0.000000,1.256907,1.211201,1.211201,0.354032,25700
1980-05-14,0.000000,1.268333,1.222627,1.222627,0.357372,23700
1980-05-15,0.000000,1.279759,1.234054,1.234054,0.360712,84900
1980-05-16,0.000000,1.291186,1.245480,1.245480,0.364052,211900
1980-05-19,0.000000,1.279759,1.234054,1.234054,0.360712,12400
1980-05-20,0.000000,1.279759,1.234054,1.234054,0.360712,25700
1980-05-21,0.000000,1.279759,1.234054,1.234054,0.360712,135200
1980-05-22,0.000000,1.279759,1.234054,1.234054,0.360712,17100
1980-05-23,0.000000,1.279759,1.234054,1.234054,0.360712,30300
1980-05-27,0.000000,1.302612,1.256907,1.256907,0.367392,54100
1980-05-28,0.000000,1.302612,1.256907,1.256907,0.367392,87200
