Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,2.925926,2.814815,2.814815,0.357736,84000
1980-03-18,0.000000,2.962963,2.851852,2.851852,0.362443,24300
1980-03-19,0.000000,3.000000,2.888889,2.888889,0.367150,24600
1980-03-20,0.000000,3.000000,2.888889,2.888889,0.367150,16200
1980-03-21,0.000000,2.962963,2.851852,2.851852,0.362443,6600
1980-03-24,0.000000,2.888889,2.777778,2.777778,0.353029,84000
1980-03-25,0.000000,2.888889,2.777778,2.777778,0.353029,5700
1980-03-26,0.000000,2.962963,2.851852,2.851852,0.362443,70500
1980-03-27,0.000000,2.925926,2.814815,2.814815,0.357736,66600
1980-03-28,0.000000,2.925926,2.814815,2.814815,0.357736,5400
1980-03-31,0.000000,2.962963,2.851852,2.851852,0.362443,10800
1980-04-01,0.000000,3.111111,3.000000,3.000000,0.381271,171900
1980-04-02,0.000000,3.444444,3.333333,3.333333,0.423635,73200
1980-04-03,0.000000,3.296296,3.185185,3.185185,0.404806,27300
1980-04-07,0.000000,3.185185,3.074074,3.074074,0.390685,50400
1980-04-08,0.000000,3.185185,3.074074,3.074074,0.390685,1800
1980-04-09,0.000000,3.222222,3.111111,3.111111,0.395392,12600
1980-04-10,0.000000,3.074074,2.962963,2.962963,0.376564,36300
1980-04-11,0.000000,3.074074,2.962963,2.962963,0.376564,7200
1980-04-14,0.000000,3.000000,2.888889,2.888889,0.367150,38100
1980-04-15,0.000000,2.925926,2.814815,2.814815,0.357736,14700
1980-04-16,0.000000,3.074074,2.962963,2.962963,0.376564,28200
1980-04-17,0.000000,3.074074,2.962963,2.962963,0.376564,9300
1980-04-18,0.000000,3.074074,2.962963,2.962963,0.376564,30900
1980-04-21,0.000000,3.074074,2.962963,2.962963,0.376564,28200
1980-04-22,0.000000,3.074074,2.962963,2.962963,0.376564,1800
1980-04-23,0.000000,3.111111,3.000000,3.000000,0.381271,23400
1980-04-24,0.000000,3.111111,3.000000,3.000000,0.381271,14700
1980-04-25,0.000000,3.074074,2.962963,2.962963,0.376564,13500
1980-04-28,0.000000,3.111111,3.000000,3.000000,0.381271,5700
1980-04-29,0.000000,3.148148,3.037037,3.037037,0.385978,9300
1980-04-30,0.000000,3.111111,3.000000,3.000000,0.381271,9900
1980-05-01,0.000000,3.074074,2.962963,2.962963,0.376564,16500
1980-05-02,0.000000,3.074074,2.962963,2.962963,0.376564,5700
1980-05-05,0.000000,3.111111,3.000000,3.000000,0.381271,32400
1980-05-06,0.000000,3.185185,3.074074,3.074074,0.390685,57000
1980-05-07,0.000000,3.259259,3.148148,3.148148,0.400099,15300
1980-05-08,0.000000,3.259259,3.148148,3.148148,0.400099,7200
1980-05-09,0.000000,3.259259,3.148148,3.148148,0.400099,13800
1980-05-12,0.000000,3.296296,3.185185,3.185185,0.404806,29700
1980-05-13,0.000000,3.296296,3.185185,3.185185,0.404806,5400
1980-05-14,0.000000,3.333333,3.222222,3.222222,0.409513,8400
1980-05-15,0.000000,3.333333,3.222222,3.222222,0.409513,6600
1980-05-16,0.000000,3.333333,3.222222,3.222222,0.409513,6600
1980-05-19,0.000000,3.333333,3.222222,3.222222,0.409513,14700
1980-05-20,0.000000,3.259259,3.148148,3.148148,0.400099,40800
1980-05-21,0.000000,3.259259,3.148148,3.148148,0.400099,9300
1980-05-22,0.000000,3.333333,3.222222,3.222222,0.409513,24600
1980-05-23,0.000000,3.333333,3.222222,3.222222,0.409513,13800
1980-05-27,0.000000,3.481482,3.370370,3.370370,0.428342,31500
1980-05-28,0.000000,3.555556,3.444444,3.444444,0.437756,21900
1980-05-29,0.000000,3.518518,3.407408,3.407408,0.433049,15300
1980-05-30,0.000000,3.518518,3.407408,3.407408,0.433049,59400
1980-06-02,0.000000,3.518518,3.407408,3.407408,0.433049,40800
1980-06-03,0.000000,3.518518,3.407408,3.407408,0.433049,9900
1980-06-04,0.000000,3.666667,3.555556,3.555556,0.451877,1088100
1980-06-05,0.000000,3.666667,3.555556,3.555556,0.451877,43500
1980-06-06,0.000000,3.814815,3.703704,3.703704,0.470706,233400
1980-06-09,0.000000,3.740741,3.629630,3.629630,0.461291,44400
1980-06-10,0.000000,3.740741,3.629630,3.629630,0.461291,45000
1980-06-11,0.000000,3.740741,3.629630,3.629630,0.461291,8100
1980-06-12,0.000000,3.740741,3.629630,3.629630,0.461291,140700
1980-06-13,0.000000,3.777778,3.666667,3.666667,0.465998,23400
1980-06-16,0.000000,3.777778,3.666667,3.666667,0.465998,25500
1980-06-17,0.000000,3.777778,3.666667,3.666667,0.465998,10800
1980-06-18,0.000000,3.777778,3.666667,3.666667,0.465998,68700
1980-06-19,0.000000,3.777778,3.666667,3.666667,0.465998,16200
1980-06-20,0.000000,3.777778,3.666667,3.666667,0.465998,5700
1980-06-23,0.000000,3.814815,3.703704,3.703704,0.470706,47100
1980-06-24,0.000000,3.814815,3.703704,3.703704,0.470706,5400
1980-06-25,0.000000,3.814815,3.703704,3.703704,0.470706,9900
1980-06-26,0.000000,3.814815,3.703704,3.703704,0.470706,28800
1980-06-27,0.000000,3.814815,3.703704,3.703704,0.470706,36300
1980-06-30,0.000000,3.777778,3.666667,3.666667,0.465998,65100
1980-07-01,0.000000,3.814815,3.703704,3.703704,0.470706,48600
1980-07-02,0.000000,3.814815,3.703704,3.703704,0.470706,12600
1980-07-03,0.000000,3.814815,3.703704,3.703704,0.470706,23400
1980-07-07,0.000000,3.777778,3.740741,3.740741,0.475412,18000
1980-07-08,0.000000,3.814815,3.740741,3.740741,0.475412,36300
1980-07-09,0.000000,3.814815,3.740741,3.740741,0.475412,27000
1980-07-10,0.000000,3.814815,3.740741,3.740741,0.475412,2700
1980-07-11,0.000000,3.814815,3.777778,3.777778,0.480120,13500
1980-07-14,0.000000,3.814815,3.777778,3.777778,0.480120,40500
1980-07-15,0.000000,3.777778,3.740741,3.740741,0.475412,66000
1980-07-16,3.740741,3.740741,3.740741,3.740741,0.475412,0
1980-07-17,0.000000,3.814815,3.740741,3.740741,0.475412,13500
1980-07-18,0.000000,3.925926,3.888889,3.888889,0.494241,238800
1980-07-21,0.000000,3.925926,3.888889,3.888889,0.494241,48900
1980-07-22,0.000000,3.925926,3.888889,3.888889,0.494241,22800
1980-07-23,0.000000,3.925926,3.888889,3.888889,0.494241,5400
1980-07-24,0.000000,3.925926,3.888889,3.888889,0.494241,15300
1980-07-25,0.000000,3.925926,3.888889,3.888889,0.494241,16200
1980-07-28,0.000000,3.925926,3.888889,3.888889,0.494241,2700
1980-07-29,0.000000,3.962963,3.888889,3.888889,0.494241,20700
1980-07-30,0.000000,4.037037,4.000000,4.000000,0.508362,282600
1980-07-31,0.000000,3.962963,3.925926,3.925926,0.498948,44400
1980-08-01,0.000000,3.962963,3.907408,3.907408,0.496594,28800
1980-08-04,0.000000,3.925926,3.851852,3.851852,0.489533,18900
1980-08-05,0.000000,3.888889,3.851852,3.851852,0.489533,8100
1980-08-06,0.000000,3.888889,3.851852,3.851852,0.489533,3900
1980-08-07,0.000000,3.888889,3.851852,3.851852,0.489533,32400
1980-08-08,0.000000,3.851852,3.814815,3.814815,0.484826,45900
1980-08-11,0.000000,3.777778,3.703704,3.703704,0.470706,51600
1980-08-12,0.000000,3.777778,3.703704,3.703704,0.470706,300
1980-08-13,0.000000,3.777778,3.703704,3.703704,0.470706,10800
1980-08-14,0.000000,3.777778,3.703704,3.703704,0.470706,11100
1980-08-15,0.000000,3.777778,3.703704,3.703704,0.470706,8100
1980-08-18,0.000000,3.777778,3.666667,3.666667,0.465998,19200
1980-08-19,0.000000,3.703704,3.666667,3.666667,0.465998,28800
1980-08-20,0.000000,3.666667,3.629630,3.629630,0.461291,5400
1980-08-21,0.000000,3.666667,3.629630,3.629630,0.461291,16200
1980-08-22,0.000000,3.666667,3.592592,3.592592,0.456584,103800
1980-08-25,0.000000,3.666667,3.592592,3.592592,0.456584,300
1980-08-26,0.000000,3.629630,3.592592,3.592592,0.456584,12000
1980-08-27,0.000000,3.629630,3.592592,3.592592,0.456584,28200
1980-08-28,0.000000,3.629630,3.555556,3.555556,0.451877,33600
1980-08-29,0.000000,3.629630,3.555556,3.555556,0.451877,7200
1980-09-02,0.000000,3.629630,3.555556,3.555556,0.451877,3000
1980-09-03,0.000000,3.629630,3.592592,3.592592,0.456584,1800
1980-09-04,0.000000,3.629630,3.555556,3.555556,0.451877,10800
1980-09-05,0.000000,3.629630,3.555556,3.555556,0.451877,18000
1980-09-08,0.000000,3.592592,3.555556,3.555556,0.451877,3900
1980-09-09,0.000000,3.518518,3.481482,3.481482,0.442463,70200
1980-09-10,0.000000,3.518518,3.481482,3.481482,0.442463,40800
1980-09-11,0.000000,3.518518,3.444444,3.444444,0.437756,7200
1980-09-12,0.000000,3.518518,3.481482,3.481482,0.442463,34200
1980-09-15,0.000000,3.481482,3.444444,3.444444,0.437756,30900
1980-09-16,0.000000,3.555556,3.481482,3.481482,0.442463,54000
1980-09-17,0.000000,3.592592,3.518518,3.518518,0.447170,18900
1980-09-18,0.000000,3.629630,3.555556,3.555556,0.451877,17400
1980-09-19,0.000000,3.666667,3.592592,3.592592,0.456584,23400
1980-09-22,0.000000,3.703704,3.666667,3.666667,0.465998,36300
1980-09-23,0.000000,3.703704,3.629630,3.629630,0.461291,27300
1980-09-24,0.000000,3.703704,3.666667,3.666667,0.465998,71400
1980-09-25,0.000000,3.740741,3.703704,3.703704,0.470706,55200
1980-09-26,0.000000,3.777778,3.740741,3.740741,0.475412,43500
1980-09-29,0.000000,3.777778,3.740741,3.740741,0.475412,77400
1980-09-30,0.000000,3.777778,3.740741,3.740741,0.475412,47100
1980-10-01,0.000000,3.777778,3.740741,3.740741,0.475412,39000
1980-10-02,0.000000,3.814815,3.740741,3.740741,0.475412,36300
1980-10-03,0.000000,3.814815,3.740741,3.740741,0.475412,300
1980-10-06,0.000000,3.814815,3.740741,3.740741,0.475412,19200
1980-10-07,0.000000,3.814815,3.740741,3.740741,0.475412,22800
1980-10-08,0.000000,3.814815,3.740741,3.740741,0.475412,3900
1980-10-09,0.000000,3.777778,3.703704,3.703704,0.470706,27000
1980-10-10,0.000000,3.777778,3.703704,3.703704,0.470706,3900
1980-10-13,0.000000,3.777778,3.703704,3.703704,0.470706,8100
1980-10-14,0.000000,3.703704,3.666667,3.666667,0.465998,22800
1980-10-15,0.000000,3.666667,3.629630,3.629630,0.461291,21600
1980-10-16,0.000000,3.666667,3.629630,3.629630,0.461291,27000
1980-10-17,0.000000,3.629630,3.555556,3.555556,0.451877,36300
1980-10-20,0.000000,3.629630,3.555556,3.555556,0.451877,1800
1980-10-21,0.000000,3.592592,3.518518,3.518518,0.447170,25500
1980-10-22,0.000000,3.555556,3.518518,3.518518,0.447170,15300
1980-10-23,0.000000,3.555556,3.481482,3.481482,0.442463,18000
1980-10-24,0.000000,3.555556,3.481482,3.481482,0.442463,4500
1980-10-27,0.000000,3.518518,3.444444,3.444444,0.437756,31500
1980-10-28,0.000000,3.518518,3.481482,3.481482,0.442463,24600
1980-10-29,0.000000,3.518518,3.444444,3.444444,0.437756,62100
1980-10-30,0.000000,3.407408,3.370370,3.370370,0.428342,67800
1980-10-31,0.000000,3.407408,3.333333,3.333333,0.423635,32700
1980-11-03,0.000000,3.407408,3.333333,3.333333,0.423635,8100
1980-11-05,0.000000,3.370370,3.333333,3.333333,0.423635,51300
1980-11-06,0.000000,3.370370,3.296296,3.296296,0.418927,22800
1980-11-07,0.000000,3.370370,3.333333,3.333333,0.423635,5700
1980-11-10,0.000000,3.333333,3.296296,3.296296,0.418927,18900
1980-11-11,0.000000,3.333333,3.296296,3.296296,0.418927,25500
1980-11-12,0.000000,3.370370,3.333333,3.333333,0.423635,36300
1980-11-13,0.000000,3.370370,3.333333,3.333333,0.423635,16200
1980-11-14,0.000000,3.370370,3.333333,3.333333,0.423635,62100
1980-11-17,0.000000,3.370370,3.333333,3.333333,0.423635,4500
1980-11-18,0.000000,3.370370,3.333333,3.333333,0.423635,21600
1980-11-19,0.000000,3.370370,3.333333,3.333333,0.423635,5400
1980-11-20,0.000000,3.333333,3.296296,3.296296,0.418927,35400
1980-11-21,0.000000,3.222222,3.148148,3.148148,0.400099,40500
1980-11-24,0.000000,3.037037,3.000000,3.000000,0.381271,79500
1980-11-25,0.000000,3.185185,3.148148,3.148148,0.400099,63300
1980-11-26,0.000000,3.185185,3.148148,3.148148,0.400099,22800
1980-11-28,0.000000,3.185185,3.111111,3.111111,0.395392,31500
1980-12-01,0.000000,3.148148,3.111111,3.111111,0.395392,31500
1980-12-02,0.000000,3.111111,3.074074,3.074074,0.390685,45900
1980-12-03,0.000000,3.111111,3.074074,3.074074,0.390685,300
1980-12-04,0.000000,3.111111,3.074074,3.074074,0.390685,17400
1980-12-05,0.000000,3.111111,3.037037,3.037037,0.385978,16500
1980-12-08,0.000000,3.037037,3.000000,3.000000,0.381271,12600
1980-12-09,0.000000,3.037037,3.000000,3.000000,0.381271,43500
1980-12-10,0.000000,3.037037,3.000000,3.000000,0.381271,21600
1980-12-11,0.000000,3.037037,2.962963,2.962963,0.376564,43200
1980-12-12,0.000000,3.037037,2.962963,2.962963,0.376564,1800
1980-12-15,0.000000,3.037037,2.962963,2.962963,0.376564,28200
1980-12-16,0.000000,3.000000,2.962963,2.962963,0.376564,22800
1980-12-17,0.000000,3.074074,3.000000,3.000000,0.381271,70200
1980-12-18,0.000000,3.111111,3.074074,3.074074,0.390685,66600
1980-12-19,0.000000,3.148148,3.111111,3.111111,0.395392,5700
1980-12-22,0.000000,3.148148,3.111111,3.111111,0.395392,6600
1980-12-23,0.000000,3.148148,3.111111,3.111111,0.395392,30000
1980-12-24,0.000000,3.148148,3.111111,3.111111,0.395392,1800
1980-12-26,0.000000,3.148148,3.111111,3.111111,0.395392,5400
1980-12-29,0.000000,3.148148,3.074074,3.074074,0.390685,24300
