Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.101881,0.097546,0.097546,0.066201,126600
1980-03-18,0.000000,0.101881,0.097546,0.097546,0.066201,518400
1980-03-19,0.000000,0.100798,0.096462,0.096462,0.065466,736800
1980-03-20,0.000000,0.108385,0.104049,0.104049,0.070615,1350000
1980-03-21,0.000000,0.111636,0.107301,0.107301,0.072821,454200
1980-03-24,0.000000,0.110552,0.106217,0.106217,0.072086,311400
1980-03-25,0.000000,0.106217,0.101881,0.101881,0.069144,736800
1980-03-26,0.000000,0.106217,0.101881,0.101881,0.069144,600
1980-03-27,0.000000,0.086708,0.082372,0.082372,0.055903,2158200
1980-03-28,0.000000,0.092127,0.087791,0.087791,0.059581,547800
1980-03-31,0.000000,0.096462,0.092127,0.092127,0.062523,372600
1980-04-01,0.000000,0.098630,0.094295,0.094295,0.063995,243600
1980-04-02,0.000000,0.098630,0.094295,0.094295,0.063995,37800
1980-04-03,0.000000,0.098630,0.094295,0.094295,0.063995,84600
1980-04-07,0.000000,0.096462,0.092127,0.092127,0.062523,219600
1980-04-08,0.000000,0.095378,0.091043,0.091043,0.061788,600
1980-04-09,0.000000,0.095378,0.091043,0.091043,0.061788,181800
1980-04-10,0.000000,0.098630,0.094295,0.094295,0.063995,681000
1980-04-11,0.000000,0.098630,0.094295,0.094295,0.063995,408600
1980-04-14,0.000000,0.097546,0.093211,0.093211,0.063259,243600
1980-04-15,0.000000,0.097546,0.093211,0.093211,0.063259,591000
1980-04-16,0.093211,0.093211,0.093211,0.093211,0.063259,0
1980-04-17,0.093211,0.093211,0.093211,0.093211,0.063259,0
1980-04-18,0.000000,0.097546,0.093211,0.093211,0.063259,37800
1980-04-21,0.000000,0.097546,0.093211,0.093211,0.063259,600
1980-04-22,0.093211,0.093211,0.093211,0.093211,0.063259,0
1980-04-23,0.000000,0.097546,0.093211,0.093211,0.063259,219600
1980-04-24,0.000000,0.097546,0.093211,0.093211,0.063259,243600
1980-04-25,0.000000,0.100798,0.096462,0.096462,0.065466,777600
1980-04-28,0.000000,0.101881,0.097546,0.097546,0.066201,272400
1980-04-29,0.000000,0.104049,0.099714,0.099714,0.067672,284400
1980-04-30,0.099714,0.099714,0.099714,0.099714,0.067672,0
1980-05-01,0.000000,0.104049,0.099714,0.099714,0.067672,243600
1980-05-02,0.000000,0.104049,0.099714,0.099714,0.067672,146400
1980-05-05,0.000000,0.104049,0.099714,0.099714,0.067672,84600
1980-05-06,0.000000,0.105133,0.100798,0.100798,0.068408,146400
1980-05-07,0.000000,0.105133,0.100798,0.100798,0.068408,284400
1980-05-08,0.000000,0.108385,0.104049,0.104049,0.070615,466800
1980-05-09,0.000000,0.110552,0.106217,0.106217,0.072086,837600
1980-05-12,0.000000,0.113804,0.109468,0.109468,0.074293,365400
1980-05-13,0.000000,0.121391,0.117055,0.117055,0.079442,1110600
1980-05-14,0.000000,0.114888,0.110552,0.110552,0.075028,821400
1980-05-15,0.000000,0.119223,0.114888,0.114888,0.077971,329400
1980-05-16,0.000000,0.128436,0.121933,0.121933,0.082752,777600
1980-05-19,0.000000,0.126810,0.120307,0.120307,0.081648,181800
