Date,Open,High,Low,Close,Adj Close,Volume
1993-06-22,1.625000,1.625000,1.406250,1.437500,1.278251,22363200
1993-06-23,1.468750,1.500000,1.437500,1.468750,1.306039,3168800
1993-06-24,1.468750,1.500000,1.468750,1.468750,1.306039,703200
1993-06-25,1.468750,1.531250,1.468750,1.500000,1.333827,1654400
1993-06-28,1.500000,1.531250,1.500000,1.500000,1.333827,1398400
1993-06-29,1.531250,1.531250,1.468750,1.531250,1.361615,756800
1993-06-30,1.468750,1.468750,1.406250,1.406250,1.250463,1027200
1993-07-01,1.468750,1.468750,1.406250,1.468750,1.306039,627200
1993-07-02,1.468750,1.468750,1.406250,1.406250,1.250463,213600
1993-07-06,1.406250,1.468750,1.406250,1.406250,1.250463,141600
1993-07-07,1.343750,1.375000,1.250000,1.328125,1.180993,1111200
1993-07-08,1.281250,1.375000,1.281250,1.312500,1.167099,648800
1993-07-09,1.281250,1.343750,1.281250,1.343750,1.194887,255200
1993-07-12,1.281250,1.343750,1.281250,1.312500,1.167099,828000
1993-07-13,1.281250,1.375000,1.281250,1.359375,1.208781,182400
1993-07-14,1.343750,1.500000,1.343750,1.468750,1.306039,583200
1993-07-15,1.468750,1.500000,1.437500,1.500000,1.333827,230400
1993-07-16,1.500000,1.500000,1.437500,1.437500,1.278251,128800
1993-07-19,1.500000,1.500000,1.437500,1.468750,1.306039,692000
1993-07-20,1.437500,1.500000,1.437500,1.468750,1.306039,68800
1993-07-21,1.437500,1.500000,1.437500,1.437500,1.278251,35200
1993-07-22,1.468750,1.500000,1.468750,1.468750,1.306039,448800
1993-07-23,1.468750,1.500000,1.343750,1.390625,1.236569,332800
1993-07-26,1.343750,1.343750,1.281250,1.343750,1.194887,286400
1993-07-27,1.281250,1.343750,1.281250,1.281250,1.139311,411200
1993-07-28,1.312500,1.343750,1.281250,1.281250,1.139311,70400
1993-07-29,1.343750,1.375000,1.281250,1.375000,1.222675,144800
1993-07-30,1.312500,1.375000,1.296875,1.343750,1.194887,984800
1993-08-02,1.312500,1.343750,1.312500,1.312500,1.167099,64000
1993-08-03,1.312500,1.343750,1.312500,1.312500,1.167099,64000
1993-08-04,1.343750,1.343750,1.312500,1.312500,1.167099,65600
1993-08-05,1.312500,1.343750,1.312500,1.312500,1.167099,39200
1993-08-06,1.312500,1.343750,1.312500,1.312500,1.167099,23200
1993-08-09,1.312500,1.343750,1.312500,1.312500,1.167099,51200
1993-08-10,1.281250,1.312500,1.218750,1.250000,1.111523,568800
1993-08-11,1.218750,1.218750,1.062500,1.187500,1.055946,1015200
1993-08-12,1.187500,1.187500,1.125000,1.140625,1.014264,1605600
1993-08-13,1.125000,1.187500,1.125000,1.125000,1.000370,319200
1993-08-16,1.125000,1.250000,1.125000,1.187500,1.055946,200000
1993-08-17,1.187500,1.250000,1.187500,1.187500,1.055946,459200
1993-08-18,1.187500,1.250000,1.187500,1.218750,1.083735,50400
1993-08-19,1.187500,1.218750,1.125000,1.203125,1.069841,548000
1993-08-20,1.125000,1.218750,1.125000,1.187500,1.055946,8000
1993-08-23,1.218750,1.218750,1.171875,1.171875,1.042052,49600
1993-08-24,1.156250,1.218750,1.156250,1.156250,1.028159,9600
1993-08-25,1.187500,1.218750,1.156250,1.156250,1.028159,48000
1993-08-26,1.156250,1.218750,1.140625,1.156250,1.028159,176800
1993-08-27,1.156250,1.218750,1.156250,1.156250,1.028159,64000
1993-08-30,1.218750,1.218750,1.156250,1.156250,1.028159,89600
1993-08-31,1.156250,1.218750,1.156250,1.218750,1.083735,23200
1993-09-01,1.140625,1.187500,1.140625,1.156250,1.028159,138400
1993-09-02,1.218750,1.218750,1.156250,1.187500,1.055946,479200
1993-09-03,1.187500,1.218750,1.156250,1.218750,1.083735,395200
1993-09-07,1.218750,1.218750,1.125000,1.187500,1.055946,280800
1993-09-08,1.125000,1.187500,1.062500,1.062500,0.944794,715200
1993-09-09,1.125000,1.156250,1.062500,1.156250,1.028159,97600
1993-09-10,1.156250,1.156250,1.093750,1.156250,1.028159,194400
1993-09-13,1.125000,1.156250,1.093750,1.156250,1.028159,52000
1993-09-14,1.156250,1.218750,1.093750,1.218750,1.083735,582400
1993-09-15,1.187500,1.343750,1.187500,1.343750,1.194887,358400
1993-09-16,1.281250,1.343750,1.250000,1.312500,1.167099,76000
1993-09-17,1.250000,1.343750,1.250000,1.250000,1.111523,145600
1993-09-20,1.250000,1.250000,1.250000,1.250000,1.111523,38400
1993-09-21,1.250000,1.250000,1.125000,1.140625,1.014264,268000
1993-09-22,1.156250,1.218750,1.156250,1.187500,1.055946,80000
1993-09-23,1.218750,1.250000,1.187500,1.187500,1.055946,360800
1993-09-24,1.234375,1.250000,1.187500,1.250000,1.111523,92000
1993-09-27,1.250000,1.343750,1.218750,1.343750,1.194887,378400
1993-09-28,1.296875,1.406250,1.281250,1.375000,1.222675,1453600
1993-09-29,1.406250,1.468750,1.375000,1.437500,1.278251,96000
1993-09-30,1.468750,1.531250,1.468750,1.500000,1.333827,468000
1993-10-01,1.531250,1.531250,1.468750,1.468750,1.306039,623200
1993-10-04,1.531250,1.531250,1.468750,1.468750,1.306039,53600
1993-10-05,1.468750,1.531250,1.468750,1.468750,1.306039,534400
1993-10-06,1.468750,1.531250,1.468750,1.468750,1.306039,162400
1993-10-07,1.468750,1.484375,1.375000,1.437500,1.278251,436000
1993-10-08,1.437500,1.437500,1.343750,1.406250,1.250463,52000
1993-10-11,1.375000,1.406250,1.343750,1.343750,1.194887,106400
1993-10-12,1.406250,1.406250,1.343750,1.375000,1.222675,139200
1993-10-13,1.406250,1.406250,1.343750,1.343750,1.194887,40800
1993-10-14,1.406250,1.406250,1.343750,1.343750,1.194887,179200
1993-10-15,1.437500,1.437500,1.343750,1.343750,1.194887,25600
1993-10-18,1.437500,1.437500,1.343750,1.437500,1.278251,120000
1993-10-19,1.437500,1.468750,1.375000,1.375000,1.222675,305600
1993-10-20,1.468750,1.640625,1.406250,1.625000,1.444979,825600
1993-10-21,1.656250,1.671875,1.468750,1.562500,1.389404,1156000
1993-10-22,1.562500,1.625000,1.531250,1.593750,1.417192,234400
1993-10-25,1.531250,1.593750,1.531250,1.546875,1.375509,237600
1993-10-26,1.531250,1.546875,1.437500,1.500000,1.333827,505600
1993-10-27,1.500000,1.500000,1.375000,1.390625,1.236569,288800
1993-10-28,1.437500,1.437500,1.375000,1.406250,1.250463,564800
1993-10-29,1.468750,1.468750,1.312500,1.375000,1.222675,344800
1993-11-01,1.375000,1.406250,1.312500,1.406250,1.250463,216000
1993-11-02,1.406250,1.406250,1.312500,1.375000,1.222675,727200
1993-11-03,1.406250,1.406250,1.343750,1.406250,1.250463,169600
1993-11-04,1.406250,1.406250,1.312500,1.312500,1.167099,283200
1993-11-05,1.343750,1.375000,1.281250,1.312500,1.167099,76000
1993-11-08,1.250000,1.281250,1.250000,1.281250,1.139311,32000
1993-11-09,1.250000,1.343750,1.250000,1.343750,1.194887,32000
1993-11-10,1.343750,1.406250,1.250000,1.406250,1.250463,302400
1993-11-11,1.343750,1.437500,1.343750,1.437500,1.278251,84000
1993-11-12,1.437500,1.437500,1.343750,1.375000,1.222675,41600
1993-11-15,1.343750,1.406250,1.343750,1.406250,1.250463,23200
1993-11-16,1.437500,1.437500,1.343750,1.343750,1.194887,93600
1993-11-17,1.343750,1.437500,1.343750,1.437500,1.278251,12000
1993-11-18,1.437500,1.437500,1.343750,1.343750,1.194887,7200
1993-11-19,1.343750,1.437500,1.343750,1.343750,1.194887,25600
1993-11-22,1.343750,1.343750,1.343750,1.343750,1.194887,12000
1993-11-23,1.390625,1.437500,1.343750,1.437500,1.278251,389600
1993-11-24,1.375000,1.375000,1.343750,1.375000,1.222675,31200
1993-11-26,1.375000,1.437500,1.375000,1.437500,1.278251,3200
1993-11-29,1.437500,1.437500,1.343750,1.437500,1.278251,4800
1993-11-30,1.437500,1.437500,1.343750,1.343750,1.194887,4800
1993-12-01,1.343750,1.390625,1.343750,1.375000,1.222675,42400
1993-12-02,1.343750,1.406250,1.343750,1.375000,1.222675,258400
1993-12-03,1.406250,1.437500,1.343750,1.406250,1.250463,431200
1993-12-06,1.437500,1.437500,1.312500,1.312500,1.167099,443200
1993-12-07,1.375000,1.375000,1.250000,1.250000,1.111523,152000
1993-12-08,1.250000,1.343750,1.250000,1.343750,1.194887,30400
1993-12-09,1.281250,1.343750,1.203125,1.281250,1.139311,386400
1993-12-10,1.250000,1.281250,1.218750,1.218750,1.083735,89600
1993-12-13,1.218750,1.281250,1.218750,1.281250,1.139311,4000
