Date,Open,High,Low,Close,Adj Close,Volume
1983-11-22,0.000000,1.583333,1.541667,1.541667,0.989873,5736000
1983-11-23,0.000000,1.604167,1.562500,1.562500,1.003249,2424000
1983-11-25,0.000000,1.645833,1.625000,1.625000,1.043379,741600
1983-11-28,0.000000,1.562500,1.520833,1.520833,0.976496,1251600
1983-11-29,0.000000,1.583333,1.562500,1.562500,1.003249,1209600
1983-11-30,0.000000,1.604167,1.562500,1.562500,1.003249,632400
1983-12-01,0.000000,1.604167,1.562500,1.562500,1.003249,422400
1983-12-02,0.000000,1.604167,1.541667,1.541667,0.989873,985200
1983-12-05,0.000000,1.583333,1.520833,1.520833,0.976496,229200
1983-12-06,0.000000,1.541667,1.500000,1.500000,0.963119,220800
1983-12-07,0.000000,1.562500,1.500000,1.500000,0.963119,85200
1983-12-08,0.000000,1.562500,1.520833,1.520833,0.976496,264000
1983-12-09,0.000000,1.562500,1.520833,1.520833,0.976496,246000
1983-12-12,0.000000,1.562500,1.520833,1.520833,0.976496,164400
1983-12-13,0.000000,1.583333,1.541667,1.541667,0.989873,687600
1983-12-14,0.000000,1.583333,1.541667,1.541667,0.989873,164400
1983-12-15,0.000000,1.583333,1.541667,1.541667,0.989873,81600
1983-12-16,0.000000,1.583333,1.541667,1.541667,0.989873,135600
1983-12-19,0.000000,1.583333,1.541667,1.541667,0.989873,150000
1983-12-20,0.000000,1.604167,1.562500,1.562500,1.003249,126000
1983-12-21,0.000000,1.604167,1.562500,1.562500,1.003249,362400
1983-12-22,0.000000,1.583333,1.562500,1.562500,1.003249,24000
1983-12-23,0.000000,1.604167,1.583333,1.583333,1.016626,130800
1983-12-27,0.000000,1.645833,1.604167,1.604167,1.030003,338400
1983-12-28,0.000000,1.645833,1.604167,1.604167,1.030003,54000
1983-12-29,0.000000,1.645833,1.562500,1.562500,1.003249,58800
1983-12-30,0.000000,1.645833,1.583333,1.583333,1.016626,205200
1984-01-03,0.000000,1.645833,1.604167,1.604167,1.030003,18000
1984-01-04,0.000000,1.625000,1.583333,1.583333,1.016626,352800
1984-01-05,0.000000,1.645833,1.604167,1.604167,1.030003,499200
1984-01-06,0.000000,1.708333,1.666667,1.666667,1.070132,218400
1984-01-09,0.000000,1.708333,1.645833,1.645833,1.056755,22800
1984-01-10,0.000000,1.729167,1.666667,1.666667,1.070132,26400
1984-01-11,0.000000,1.729167,1.666667,1.666667,1.070132,99600
1984-01-12,0.000000,1.729167,1.666667,1.666667,1.070132,67200
1984-01-13,0.000000,1.750000,1.666667,1.666667,1.070132,446400
1984-01-16,0.000000,1.750000,1.687500,1.687500,1.083509,328800
1984-01-17,0.000000,1.812500,1.750000,1.750000,1.123639,637200
1984-01-18,0.000000,1.812500,1.770833,1.770833,1.137016,73200
1984-01-19,0.000000,1.833333,1.770833,1.770833,1.137016,397200
1984-01-20,0.000000,1.833333,1.770833,1.770833,1.137016,356400
1984-01-23,0.000000,1.833333,1.770833,1.770833,1.137016,318000
1984-01-24,0.000000,1.791667,1.708333,1.708333,1.096886,615600
1984-01-25,0.000000,1.791667,1.708333,1.708333,1.096886,176400
1984-01-26,0.000000,1.791667,1.708333,1.708333,1.096886,183600
1984-01-27,0.000000,1.729167,1.666667,1.666667,1.070132,352800
1984-01-30,0.000000,1.604167,1.562500,1.562500,1.003249,79200
1984-01-31,0.000000,1.604167,1.541667,1.541667,0.989873,92400
1984-02-01,0.000000,1.583333,1.541667,1.541667,0.989873,434400
1984-02-02,0.000000,1.583333,1.541667,1.541667,0.989873,9600
1984-02-03,0.000000,1.583333,1.541667,1.541667,0.989873,46800
1984-02-06,0.000000,1.583333,1.541667,1.541667,0.989873,140400
1984-02-07,0.000000,1.562500,1.479167,1.479167,0.949742,166800
1984-02-08,0.000000,1.541667,1.479167,1.479167,0.949742,4800
1984-02-09,0.000000,1.541667,1.479167,1.479167,0.949742,584400
1984-02-10,0.000000,1.541667,1.500000,1.500000,0.963119,386400
1984-02-13,0.000000,1.520833,1.479167,1.479167,0.949742,62400
1984-02-14,0.000000,1.520833,1.479167,1.479167,0.949742,45600
1984-02-15,0.000000,1.520833,1.479167,1.479167,0.949742,54000
1984-02-16,0.000000,1.541667,1.500000,1.500000,0.963119,200400
