Date,Open,High,Low,Close,Adj Close,Volume
1985-03-27,1.671880,1.755210,1.661460,1.755210,0.042226,28440000
1985-03-28,1.744790,1.750000,1.697920,1.729170,0.041599,3876000
1985-03-29,1.729170,1.770830,1.729170,1.770830,0.042602,2803200
1985-04-01,1.770830,1.770830,1.750000,1.750000,0.042100,3578400
1985-04-02,1.750000,1.750000,1.734380,1.734380,0.041725,597600
1985-04-03,1.734380,1.744790,1.729170,1.744790,0.041975,1780800
1985-04-04,1.750000,1.750000,1.744790,1.744790,0.041975,204000
1985-04-08,1.750000,1.750000,1.744790,1.744790,0.041975,597600
1985-04-09,1.744790,1.750000,1.744790,1.744790,0.041975,117600
1985-04-10,1.744790,1.744790,1.708330,1.708330,0.041098,1490400
1985-04-11,1.697920,1.697920,1.656250,1.661460,0.039970,494400
1985-04-12,1.661460,1.661460,1.656250,1.661460,0.039970,600000
1985-04-15,1.656250,1.656250,1.651040,1.651040,0.039720,2354400
1985-04-16,1.656250,1.687500,1.645830,1.677080,0.040346,381600
1985-04-17,1.666670,1.671880,1.666670,1.666670,0.040096,247200
1985-04-18,1.671880,1.682290,1.671880,1.677080,0.040346,268800
1985-04-19,1.666670,1.687500,1.661460,1.687500,0.040597,326400
1985-04-22,1.677080,1.687500,1.677080,1.677080,0.040346,112800
1985-04-23,1.677080,1.677080,1.666670,1.666670,0.040096,160800
1985-04-24,1.656250,1.656250,1.656250,1.656250,0.039845,122400
1985-04-25,1.661460,1.666670,1.656250,1.661460,0.039970,964800
1985-04-26,1.656250,1.661460,1.656250,1.661460,0.039970,280800
1985-04-29,1.661460,1.661460,1.645830,1.651040,0.039720,292800
1985-04-30,1.645830,1.651040,1.640620,1.651040,0.039720,304800
1985-05-01,1.651040,1.651040,1.645830,1.651040,0.039720,940800
1985-05-02,1.651040,1.651040,1.645830,1.651040,0.039720,693600
1985-05-03,1.651040,1.651040,1.640620,1.645830,0.039594,434400
1985-05-06,1.645830,1.645830,1.645830,1.645830,0.039594,1368000
1985-05-07,1.635420,1.645830,1.630210,1.630210,0.039219,1831200
1985-05-08,1.625000,1.625000,1.619790,1.619790,0.038968,530400
1985-05-09,1.625000,1.671880,1.625000,1.666670,0.040096,1706400
1985-05-10,1.666670,1.682290,1.656250,1.677080,0.040346,1492800
1985-05-13,1.682290,1.723960,1.682290,1.723960,0.041474,1668000
1985-05-14,1.729170,1.734380,1.708330,1.708330,0.041098,612000
