Date,Open,High,Low,Close,Adj Close,Volume
1987-11-05,6.154910,6.189488,6.085754,6.120332,0.438707,55000
1987-11-06,6.154910,6.224066,6.120332,6.120332,0.438707,212000
1987-11-09,6.085754,6.154910,5.947441,5.947441,0.426314,107600
1987-11-10,6.016598,6.154910,5.947441,6.120332,0.438707,61600
1987-11-11,6.016598,6.189488,6.016598,6.120332,0.438707,65600
1987-11-12,6.224066,6.500691,6.154910,6.466114,0.463492,102000
1987-11-13,6.396957,6.569848,6.362379,6.466114,0.463492,30200
1987-11-16,6.396957,6.500691,6.362379,6.431535,0.461014,53400
1987-11-17,6.466114,6.500691,6.293223,6.327801,0.453578,29800
1987-11-18,6.293223,6.293223,6.085754,6.154910,0.441186,38400
1987-11-19,6.016598,6.085754,5.809129,5.809129,0.416400,422800
1987-11-20,5.878285,5.912863,5.670816,5.809129,0.416400,111200
1987-11-23,5.878285,5.912863,5.809129,5.843707,0.418878,31800
1987-11-24,5.809129,6.051176,5.705394,5.982019,0.451997,198200
1987-11-25,5.982019,5.982019,5.843707,5.843707,0.441546,96000
1987-11-27,5.809129,5.912863,5.809129,5.912863,0.446772,31000
1987-11-30,5.843707,5.843707,5.705394,5.774550,0.436320,74600
1987-12-01,5.739972,5.912863,5.739972,5.878285,0.444159,96800
1987-12-02,5.843707,5.912863,5.809129,5.843707,0.441546,78200
1987-12-03,5.809129,5.878285,5.739972,5.739972,0.433708,29000
1987-12-04,5.670816,5.705394,5.636238,5.636238,0.425870,73200
1987-12-07,5.601660,5.670816,5.567081,5.567081,0.420644,46200
1987-12-08,5.567081,5.809129,5.567081,5.809129,0.438933,84000
1987-12-09,5.739972,5.774550,5.463347,5.601660,0.423257,111200
1987-12-10,5.532504,5.567081,5.463347,5.567081,0.420644,63800
1987-12-11,5.497925,5.601660,5.428769,5.497925,0.415419,48400
1987-12-14,5.532504,5.636238,5.463347,5.601660,0.423257,92600
1987-12-15,5.532504,5.705394,5.532504,5.670816,0.428482,67800
1987-12-16,5.705394,5.774550,5.601660,5.601660,0.423257,131800
1987-12-17,5.601660,5.947441,5.601660,5.774550,0.436320,295600
1987-12-18,5.843707,6.016598,5.774550,6.016598,0.454609,198800
1987-12-21,6.016598,6.154910,5.774550,5.912863,0.446772,109400
1987-12-22,5.982019,5.982019,5.843707,5.982019,0.451997,114200
1987-12-23,5.878285,6.293223,5.739972,6.154910,0.471161,135200
1987-12-24,6.224066,6.224066,6.016598,6.085754,0.465868,135800
1987-12-28,6.016598,6.327801,5.878285,6.258645,0.479102,76800
1987-12-29,6.189488,6.224066,6.016598,6.016598,0.460574,46800
1987-12-30,5.947441,6.189488,5.878285,6.085754,0.465868,73800
1987-12-31,6.085754,6.085754,5.809129,5.878285,0.449985,53600
1988-01-04,5.809129,6.154910,5.809129,6.051176,0.463220,67800
1988-01-05,6.120332,6.258645,6.120332,6.258645,0.479102,158400
1988-01-06,6.362379,6.362379,6.154910,6.224066,0.476455,214800
1988-01-07,6.154910,6.327801,6.154910,6.327801,0.484396,86000
1988-01-08,6.293223,6.293223,6.016598,6.016598,0.460574,30600
1988-01-11,6.016598,6.085754,5.947441,6.016598,0.460574,28800
1988-01-12,5.947441,6.016598,5.774550,5.912863,0.452632,98400
1988-01-13,5.843707,5.843707,5.601660,5.809129,0.444691,82400
1988-01-14,5.878285,5.947441,5.601660,5.705394,0.436750,169000
1988-01-15,5.705394,5.774550,5.636238,5.739972,0.439398,177800
1988-01-18,5.809129,5.878285,5.739972,5.878285,0.449985,31200
1988-01-19,5.912863,6.085754,5.912863,6.085754,0.465868,41400
1988-01-20,6.016598,6.154910,5.912863,5.982019,0.457926,175800
1988-01-21,5.947441,5.947441,5.878285,5.912863,0.452632,73200
1988-01-22,5.982019,6.016598,5.982019,6.016598,0.460574,15000
1988-01-25,5.982019,6.085754,5.912863,5.982019,0.457926,32000
1988-01-26,5.947441,6.051176,5.947441,5.982019,0.457926,32000
1988-01-27,6.051176,6.258645,6.051176,6.085754,0.465868,249600
1988-01-28,6.154910,6.154910,6.085754,6.154910,0.471161,21200
1988-01-29,6.189488,6.258645,6.016598,6.189488,0.473808,55600
1988-02-01,6.258645,6.258645,6.085754,6.189488,0.473808,87000
1988-02-02,6.189488,6.189488,6.051176,6.085754,0.465868,32400
1988-02-03,6.051176,6.085754,6.016598,6.016598,0.460574,97800
