Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,2.937500,2.937500,2.937500,2.937500,0.083100,164400
1973-02-22,2.958333,2.958333,2.958333,2.958333,0.083689,188400
1973-02-23,2.958333,2.958333,2.958333,2.958333,0.083689,222000
1973-02-26,2.895833,2.895833,2.895833,2.895833,0.081921,61200
1973-02-27,2.791667,2.791667,2.791667,2.791667,0.078974,368400
1973-02-28,2.770833,2.770833,2.770833,2.770833,0.078385,414000
1973-03-01,2.625000,2.625000,2.625000,2.625000,0.074259,444000
1973-03-02,2.666667,2.666667,2.666667,2.666667,0.075438,109200
1973-03-05,2.802083,2.802083,2.802083,2.802083,0.079269,135600
1973-03-06,2.895833,2.895833,2.895833,2.895833,0.081921,202800
1973-03-07,2.864583,2.864583,2.864583,2.864583,0.081037,184800
1973-03-08,2.906250,2.906250,2.906250,2.906250,0.082215,64800
1973-03-09,2.802083,2.802083,2.802083,2.802083,0.079269,290400
1973-03-12,2.791667,2.791667,2.791667,2.791667,0.078974,312000
1973-03-13,2.770833,2.770833,2.770833,2.770833,0.078385,50400
1973-03-14,2.760417,2.760417,2.760417,2.760417,0.078090,73200
1973-03-15,2.666667,2.666667,2.666667,2.666667,0.075438,147600
1973-03-16,2.656250,2.656250,2.656250,2.656250,0.075143,73200
1973-03-19,2.677083,2.677083,2.677083,2.677083,0.075733,109200
1973-03-20,2.625000,2.625000,2.625000,2.625000,0.074259,169200
1973-03-21,2.625000,2.625000,2.625000,2.625000,0.074259,168000
1973-03-22,2.593750,2.593750,2.593750,2.593750,0.073375,108000
1973-03-23,2.583333,2.583333,2.583333,2.583333,0.073080,231600
1973-03-26,2.687500,2.687500,2.687500,2.687500,0.076027,80400
1973-03-27,2.718750,2.718750,2.718750,2.718750,0.076911,1088400
1973-03-28,2.760417,2.760417,2.760417,2.760417,0.078090,162000
1973-03-29,2.791667,2.791667,2.791667,2.791667,0.078974,124800
1973-03-30,2.791667,2.791667,2.791667,2.791667,0.078974,150000
1973-04-02,2.739583,2.739583,2.739583,2.739583,0.077501,97200
1973-04-03,2.718750,2.718750,2.718750,2.718750,0.076911,60000
1973-04-04,2.739583,2.739583,2.739583,2.739583,0.077501,54000
1973-04-05,2.739583,2.739583,2.739583,2.739583,0.077501,106800
1973-04-06,2.750000,2.750000,2.750000,2.750000,0.077795,97200
1973-04-09,2.739583,2.739583,2.739583,2.739583,0.077501,116400
1973-04-10,2.697917,2.697917,2.697917,2.697917,0.076322,322800
1973-04-11,2.854167,2.854167,2.854167,2.854167,0.080742,346800
1973-04-12,2.906250,2.906250,2.906250,2.906250,0.082215,164400
1973-04-13,2.906250,2.906250,2.906250,2.906250,0.082215,183600
1973-04-16,2.895833,2.895833,2.895833,2.895833,0.081921,69600
1973-04-17,2.937500,2.937500,2.937500,2.937500,0.083100,213600
1973-04-18,2.937500,2.937500,2.937500,2.937500,0.083100,52800
1973-04-19,3.104167,3.104167,3.104167,3.104167,0.087814,348000
1973-04-23,3.020833,3.020833,3.020833,3.020833,0.085457,175200
1973-04-24,2.885417,2.885417,2.885417,2.885417,0.081626,327600
1973-04-25,2.833333,2.833333,2.833333,2.833333,0.080153,164400
1973-04-26,2.895833,2.895833,2.895833,2.895833,0.081921,489600
1973-04-27,2.833333,2.833333,2.833333,2.833333,0.080153,118800
1973-04-30,2.906250,2.906250,2.906250,2.906250,0.082215,44400
1973-05-01,2.875000,2.875000,2.875000,2.875000,0.081331,44400
1973-05-02,2.843750,2.843750,2.843750,2.843750,0.080447,90000
1973-05-03,0.000000,2.895833,2.770833,2.875000,0.081331,256800
1973-05-04,0.000000,2.895833,2.833333,2.833333,0.080153,84000
1973-05-07,0.000000,2.875000,2.812500,2.854167,0.080742,145200
1973-05-08,0.000000,2.885417,2.833333,2.875000,0.081331,158400
1973-05-09,0.000000,2.895833,2.770833,2.791667,0.078974,141600
1973-05-10,0.000000,2.854167,2.760417,2.833333,0.080153,88800
1973-05-11,0.000000,2.958333,2.833333,2.958333,0.083689,103200
1973-05-14,0.000000,2.947917,2.854167,2.854167,0.080742,33600
1973-05-15,0.000000,2.843750,2.760417,2.833333,0.080153,106800
1973-05-16,0.000000,2.895833,2.843750,2.843750,0.080447,22800
1973-05-17,0.000000,2.906250,2.875000,2.895833,0.081921,48000
1973-05-18,0.000000,2.937500,2.802083,2.802083,0.079269,117600
1973-05-21,0.000000,2.812500,2.760417,2.791667,0.078974,57600
1973-05-22,0.000000,2.895833,2.833333,2.833333,0.080153,55200
1973-05-23,0.000000,2.895833,2.833333,2.875000,0.081331,39600
1973-05-24,0.000000,2.937500,2.875000,2.937500,0.083100,189600
1973-05-25,0.000000,3.125000,2.979167,3.114583,0.088109,250800
1973-05-29,0.000000,3.208333,3.104167,3.166667,0.089582,150000
1973-05-30,0.000000,3.125000,2.979167,2.979167,0.084278,328800
1973-05-31,0.000000,3.000000,2.958333,3.000000,0.084868,602400
1973-06-01,0.000000,3.020833,2.947917,2.947917,0.083394,262800
1973-06-04,0.000000,2.927083,2.833333,2.833333,0.080153,51600
1973-06-05,0.000000,2.916667,2.833333,2.875000,0.081331,68400
1973-06-06,0.000000,2.937500,2.885417,2.895833,0.081921,102000
1973-06-07,0.000000,2.916667,2.875000,2.916667,0.082510,13200
