Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.562500,0.537500,0.537500,0.017495,104000
1980-03-18,0.000000,0.556250,0.531250,0.531250,0.017292,30000
1980-03-19,0.000000,0.568750,0.543750,0.543750,0.017699,100000
1980-03-20,0.000000,0.568750,0.543750,0.543750,0.017699,38000
1980-03-21,0.000000,0.568750,0.543750,0.543750,0.017699,54000
1980-03-24,0.000000,0.568750,0.543750,0.543750,0.017699,40000
1980-03-25,0.000000,0.550000,0.525000,0.525000,0.017088,72000
1980-03-26,0.000000,0.550000,0.525000,0.525000,0.017088,6000
1980-03-27,0.000000,0.500000,0.475000,0.475000,0.015461,136000
1980-03-28,0.000000,0.512500,0.487500,0.487500,0.015868,94000
1980-03-31,0.000000,0.512500,0.487500,0.487500,0.015868,88000
1980-04-01,0.000000,0.518750,0.493750,0.493750,0.016071,36000
1980-04-02,0.000000,0.525000,0.500000,0.500000,0.016275,74000
1980-04-03,0.000000,0.518750,0.493750,0.493750,0.016071,28000
1980-04-07,0.000000,0.500000,0.475000,0.475000,0.015461,84000
1980-04-08,0.000000,0.500000,0.475000,0.475000,0.015461,32000
1980-04-09,0.000000,0.506250,0.481250,0.481250,0.015664,14000
1980-04-10,0.000000,0.512500,0.487500,0.487500,0.015868,24000
1980-04-11,0.000000,0.512500,0.487500,0.487500,0.015868,80000
1980-04-14,0.000000,0.512500,0.487500,0.487500,0.015868,46000
1980-04-15,0.000000,0.493750,0.468750,0.468750,0.015258,46000
1980-04-16,0.000000,0.500000,0.475000,0.475000,0.015461,34000
1980-04-17,0.000000,0.512500,0.487500,0.487500,0.015868,152000
1980-04-18,0.000000,0.525000,0.500000,0.500000,0.016275,22000
1980-04-21,0.000000,0.512500,0.487500,0.487500,0.015868,8000
1980-04-22,0.000000,0.512500,0.487500,0.487500,0.015868,10000
1980-04-23,0.000000,0.537500,0.512500,0.512500,0.016682,84000
1980-04-24,0.000000,0.543750,0.518750,0.518750,0.016885,34000
1980-04-25,0.000000,0.543750,0.518750,0.518750,0.016885,14000
1980-04-28,0.000000,0.562500,0.537500,0.537500,0.017495,128000
1980-04-29,0.000000,0.562500,0.537500,0.537500,0.017495,32000
1980-04-30,0.000000,0.568750,0.543750,0.543750,0.017699,4000
1980-05-01,0.000000,0.562500,0.537500,0.537500,0.017495,94000
1980-05-02,0.000000,0.575000,0.550000,0.550000,0.017902,164000
1980-05-05,0.000000,0.625000,0.600000,0.600000,0.019530,136000
1980-05-06,0.000000,0.612500,0.587500,0.587500,0.019123,88000
1980-05-07,0.000000,0.625000,0.600000,0.600000,0.019530,122000
1980-05-08,0.000000,0.625000,0.600000,0.600000,0.019530,44000
1980-05-09,0.000000,0.625000,0.600000,0.600000,0.019530,170000
1980-05-12,0.000000,0.637500,0.612500,0.612500,0.019937,60000
1980-05-13,0.000000,0.662500,0.637500,0.637500,0.020750,208000
1980-05-14,0.000000,0.662500,0.637500,0.637500,0.020750,290000
1980-05-15,0.000000,0.662500,0.637500,0.637500,0.020750,30000
1980-05-16,0.000000,0.662500,0.637500,0.637500,0.020750,42000
1980-05-19,0.000000,0.662500,0.637500,0.637500,0.020750,14000
1980-05-20,0.000000,0.662500,0.637500,0.637500,0.020750,86000
1980-05-21,0.000000,0.656250,0.631250,0.631250,0.020547,76000
1980-05-22,0.000000,0.650000,0.625000,0.625000,0.020343,90000
1980-05-23,0.000000,0.668750,0.643750,0.643750,0.020954,186000
1980-05-27,0.000000,0.662500,0.637500,0.637500,0.020750,46000
1980-05-28,0.000000,0.656250,0.631250,0.631250,0.020547,50000
1980-05-29,0.000000,0.637500,0.612500,0.612500,0.019937,54000
1980-05-30,0.000000,0.643750,0.618750,0.618750,0.020140,24000
1980-06-02,0.000000,0.643750,0.618750,0.618750,0.020140,118000
1980-06-03,0.000000,0.637500,0.612500,0.612500,0.019937,36000
1980-06-04,0.000000,0.637500,0.612500,0.612500,0.019937,12000
1980-06-05,0.000000,0.643750,0.618750,0.618750,0.020140,2000
