Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,3.010041,3.052066,3.010041,3.015294,0.017010,1165600
1980-01-03,2.994281,2.994281,2.947003,2.973269,0.016772,1453600
1980-01-04,2.978522,3.025800,2.978522,3.025800,0.017069,1382400
1980-01-07,3.025800,3.052066,3.010041,3.010041,0.016980,1087200
1980-01-08,3.010041,3.036306,2.899725,2.899725,0.016358,1213200
1980-01-09,2.899725,2.931244,2.815675,2.878712,0.016239,9965200
1980-01-10,2.878712,2.883966,2.857700,2.857700,0.016121,5922400
1980-01-11,2.857700,2.873459,2.847194,2.862953,0.016150,5394400
1980-01-14,2.862953,2.931244,2.862953,2.920738,0.016476,4000000
1980-01-15,2.941750,3.015294,2.941750,3.015294,0.017010,1886800
1980-01-16,3.025800,3.062572,3.025800,3.041559,0.017158,5077600
1980-01-17,3.041559,3.052066,3.025800,3.041559,0.017158,1208800
1980-01-18,3.041559,3.099344,3.041559,3.083584,0.017395,1122800
1980-01-21,3.115103,3.167634,3.115103,3.167634,0.017869,1487200
1980-01-22,3.167634,3.225419,3.157128,3.183394,0.017958,1380000
1980-01-23,3.183394,3.204406,3.162381,3.178141,0.017928,899200
1980-01-24,3.293709,3.340987,3.293709,3.298963,0.018610,2329200
1980-01-25,3.288456,3.288456,3.246431,3.272697,0.018462,863600
1980-01-28,3.272697,3.314722,3.256938,3.288456,0.018550,1727200
1980-01-29,3.288456,3.335734,3.288456,3.288456,0.018550,949200
1980-01-30,3.288456,3.298963,3.277950,3.288456,0.018550,701600
1980-01-31,3.288456,3.335734,3.256938,3.256938,0.018373,987200
1980-02-01,3.256938,3.293709,3.256938,3.293709,0.018580,623200
1980-02-04,3.293709,3.319975,2.968016,3.288456,0.018550,758800
1980-02-05,3.309469,3.456556,3.309469,3.456556,0.019499,1955600
1980-02-06,3.519594,3.761237,3.519594,3.635163,0.020506,3205200
1980-02-07,3.635163,3.897819,3.635163,3.866300,0.021810,8009200
1980-02-08,3.866300,4.044906,3.740225,4.034400,0.022758,3726000
1980-02-11,4.034400,4.118450,3.950350,3.966109,0.022373,4266400
1980-02-12,3.960856,3.960856,3.855794,3.939844,0.022225,3612000
1980-02-13,3.939844,3.960856,3.897819,3.950350,0.022284,2558000
1980-02-14,3.945097,3.945097,3.761237,3.803262,0.021455,2776800
1980-02-15,3.803262,3.861047,3.761237,3.855794,0.021751,3792800
1980-02-19,3.855794,3.924084,3.850541,3.924084,0.022136,3395200
1980-02-20,3.924084,3.981869,3.913578,3.981869,0.022462,1641600
1980-02-21,3.981869,4.107944,3.966109,4.044906,0.022818,2108000
1980-02-22,4.044906,4.244525,3.981869,4.149969,0.023410,3788000
1980-02-25,4.149969,4.186740,4.023894,4.034400,0.022758,1284800
1980-02-26,4.034400,4.097437,4.002881,4.081678,0.023025,1701200
1980-02-27,4.081678,4.128956,3.934591,3.971363,0.022403,1665600
1980-02-28,3.971363,4.039653,3.897819,3.918831,0.022106,2041600
1980-02-29,3.929338,4.023894,3.929338,3.960856,0.022344,1901200
1980-03-03,3.960856,3.987122,3.929338,3.929338,0.022166,1408400
1980-03-04,3.929338,3.960856,3.913578,3.960856,0.022344,1513200
1980-03-05,3.960856,4.029147,3.939844,3.950350,0.022284,1308400
1980-03-06,3.939844,3.939844,3.813769,3.819022,0.021705,1779600
1980-03-07,3.813769,3.813769,3.677187,3.708706,0.021078,2258000
1980-03-10,3.708706,3.729719,3.629909,3.677187,0.020899,1758400
1980-03-11,3.677187,3.687694,3.535353,3.582631,0.020362,2493600
1980-03-12,3.582631,3.603644,3.551112,3.603644,0.020481,1891600
1980-03-13,3.603644,3.635163,3.572125,3.603644,0.020481,920800
1980-03-14,3.593138,3.593138,3.545859,3.551112,0.020182,1401200
1980-03-17,3.551112,3.551112,3.383013,3.393519,0.019287,1146800
1980-03-18,3.393519,3.425037,3.346241,3.425037,0.019466,1613200
1980-03-19,3.467062,3.614150,3.467062,3.545859,0.020153,2260400
1980-03-20,3.545859,3.556366,3.435544,3.482822,0.019794,2629200
1980-03-21,3.456556,3.456556,3.419784,3.425037,0.019466,1180000
1980-03-24,3.425037,3.435544,3.325228,3.346241,0.019018,2419600
1980-03-25,3.346241,3.414531,3.319975,3.393519,0.019287,1932000
1980-03-26,3.393519,3.430291,3.377759,3.377759,0.019197,796800
1980-03-27,3.377759,3.404025,3.277950,3.351494,0.019048,1656000
1980-03-28,3.351494,3.472316,3.351494,3.446050,0.019585,1213200
1980-03-31,3.477569,3.545859,3.477569,3.524847,0.020033,920800
1980-04-01,3.514341,3.514341,3.435544,3.467062,0.019705,2017600
1980-04-02,3.467062,3.530100,3.456556,3.477569,0.019764,1322800
1980-04-03,3.477569,3.482822,3.383013,3.425037,0.019466,1353600
1980-04-07,3.414531,3.414531,3.340987,3.351494,0.019048,1149200
1980-04-08,3.351494,3.372506,3.309469,3.356747,0.019078,1541600
1980-04-09,3.356747,3.404025,3.340987,3.404025,0.019346,1344400
1980-04-10,3.404025,3.414531,3.362000,3.372506,0.019167,842000
1980-04-11,3.372506,3.393519,3.325228,3.346241,0.019018,663600
1980-04-14,3.335734,3.335734,3.283203,3.298963,0.018749,432800
1980-04-15,3.298963,3.351494,3.298963,3.309469,0.018809,628000
1980-04-16,3.309469,3.356747,3.251684,3.256938,0.018511,1368000
1980-04-17,3.220166,3.220166,3.025800,3.083584,0.017525,6688800
1980-04-18,3.083584,3.151875,3.062572,3.067825,0.017436,1325200
1980-04-21,3.067825,3.088837,2.994281,2.994281,0.017018,694800
1980-04-22,3.046813,3.204406,3.046813,3.204406,0.018212,1299200
1980-04-23,3.214912,3.267444,3.214912,3.230672,0.018361,1122800
1980-04-24,3.172888,3.172888,3.067825,3.136116,0.017824,2253200
1980-04-25,3.136116,3.246431,3.046813,3.225419,0.018331,2050800
1980-04-28,3.225419,3.230672,3.130862,3.136116,0.017824,1303600
1980-04-29,3.136116,3.162381,3.120356,3.136116,0.017824,561200
1980-04-30,3.136116,3.141369,3.073078,3.141369,0.017854,1039600
1980-05-01,3.141369,3.167634,3.088837,3.109850,0.017675,737600
1980-05-02,3.109850,3.183394,3.109850,3.183394,0.018093,537600
1980-05-05,3.183394,3.214912,3.167634,3.172888,0.018033,1016000
1980-05-06,3.172888,3.235925,3.172888,3.204406,0.018212,1118000
1980-05-07,3.204406,3.272697,3.204406,3.272697,0.018600,806400
1980-05-08,3.277950,3.319975,3.277950,3.277950,0.018630,606400
1980-05-09,3.277950,3.277950,3.230672,3.251684,0.018481,975600
1980-05-12,3.298963,3.298963,3.204406,3.267444,0.018570,796800
