Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.500000,8.000000,7.437500,7.500000,6.749332,6212400
1995-06-19,7.562500,7.625000,7.062500,7.187500,6.468107,1528200
1995-06-20,7.250000,7.312500,7.187500,7.187500,6.468107,863000
1995-06-21,7.250000,7.250000,7.000000,7.062500,6.355621,629000
1995-06-22,7.062500,7.562500,7.000000,7.312500,6.580601,546200
1995-06-23,7.375000,7.437500,7.250000,7.312500,6.580601,365000
1995-06-26,7.312500,7.375000,7.000000,7.062500,6.355621,515400
1995-06-27,7.125000,7.125000,7.000000,7.000000,6.299375,270800
1995-06-28,7.062500,7.062500,7.000000,7.000000,6.299375,500400
1995-06-29,7.000000,7.125000,7.000000,7.000000,6.299375,309200
1995-06-30,7.062500,7.187500,7.062500,7.125000,6.411865,95000
1995-07-03,7.062500,7.125000,7.062500,7.062500,6.355621,9200
1995-07-05,7.125000,7.125000,7.062500,7.062500,6.355621,75600
1995-07-06,7.062500,7.125000,7.062500,7.062500,6.355621,81400
1995-07-07,7.062500,7.625000,7.062500,7.562500,6.805577,475000
1995-07-10,7.500000,7.750000,7.500000,7.750000,6.974312,241400
1995-07-11,7.625000,8.562500,7.625000,8.500000,7.649246,538600
1995-07-12,8.500000,9.062500,8.375000,9.000000,8.099195,496200
1995-07-13,9.000000,9.000000,8.812500,8.937500,8.042953,384000
1995-07-14,8.937500,8.937500,8.750000,8.937500,8.042953,102200
1995-07-17,9.062500,9.500000,9.062500,9.437500,8.492907,480200
1995-07-18,9.437500,9.437500,9.000000,9.062500,8.155446,359200
1995-07-19,9.000000,9.000000,8.812500,8.875000,7.986708,101600
1995-07-20,8.750000,8.750000,8.437500,8.687500,7.817981,119600
1995-07-21,8.750000,8.750000,8.687500,8.687500,7.817981,13000
1995-07-24,8.687500,8.812500,8.562500,8.562500,7.705490,112000
1995-07-25,8.562500,8.812500,8.562500,8.750000,7.874221,201000
1995-07-26,8.875000,9.187500,8.875000,9.125000,8.211683,287800
1995-07-27,9.187500,9.375000,9.187500,9.312500,8.380420,101600
1995-07-28,9.375000,9.437500,9.312500,9.312500,8.380420,100400
1995-07-31,9.375000,9.375000,9.062500,9.250000,8.324179,60800
1995-08-01,9.187500,9.187500,9.000000,9.062500,8.155446,57600
1995-08-02,9.000000,9.000000,8.875000,8.875000,7.986708,41000
1995-08-03,8.812500,8.812500,8.750000,8.750000,7.874221,12600
1995-08-04,8.625000,8.687500,8.562500,8.625000,7.761728,9000
1995-08-07,8.562500,8.750000,8.562500,8.687500,7.817981,12200
