Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.916667,1.833333,1.833333,0.536451,72000
1980-03-18,0.000000,1.895833,1.812500,1.812500,0.530355,8000
1980-03-19,1.812500,1.812500,1.812500,1.812500,0.530355,0
1980-03-20,0.000000,1.895833,1.812500,1.812500,0.530355,800
1980-03-21,0.000000,1.875000,1.791667,1.791667,0.524259,38400
1980-03-24,0.000000,1.791667,1.708333,1.708333,0.499875,93600
1980-03-25,0.000000,1.750000,1.666667,1.666667,0.487683,8000
1980-03-26,0.000000,1.750000,1.666667,1.666667,0.487683,110400
1980-03-27,0.000000,1.687500,1.604167,1.604167,0.469395,62400
1980-03-28,0.000000,1.729167,1.645833,1.645833,0.481587,33600
1980-03-31,0.000000,1.729167,1.645833,1.645833,0.481587,2400
1980-04-01,0.000000,1.770833,1.687500,1.687500,0.493779,15200
1980-04-02,0.000000,1.895833,1.812500,1.812500,0.530355,195200
1980-04-03,0.000000,1.916667,1.833333,1.833333,0.536451,52800
1980-04-07,0.000000,1.854167,1.770833,1.770833,0.518163,24800
1980-04-08,0.000000,1.833333,1.750000,1.750000,0.512067,55200
1980-04-09,0.000000,1.833333,1.750000,1.750000,0.512067,8000
1980-04-10,0.000000,1.854167,1.770833,1.770833,0.518163,4800
1980-04-11,0.000000,1.854167,1.770833,1.770833,0.518163,3200
1980-04-14,0.000000,1.833333,1.750000,1.750000,0.512067,800
1980-04-15,0.000000,1.854167,1.770833,1.770833,0.518163,20000
1980-04-16,0.000000,1.958333,1.875000,1.875000,0.548643,113600
1980-04-17,0.000000,1.958333,1.875000,1.875000,0.548643,34400
1980-04-18,0.000000,1.979167,1.895833,1.895833,0.554739,19200
1980-04-21,0.000000,2.000000,1.916667,1.916667,0.560835,19200
1980-04-22,0.000000,2.000000,1.916667,1.916667,0.560835,12000
1980-04-23,0.000000,2.062500,1.979167,1.979167,0.579123,60000
1980-04-24,0.000000,2.125000,2.041667,2.041667,0.597411,64800
1980-04-25,0.000000,2.104167,2.020833,2.020833,0.591315,80000
1980-04-28,0.000000,2.125000,2.041667,2.041667,0.597411,8000
1980-04-29,0.000000,2.125000,2.041667,2.041667,0.597411,17600
1980-04-30,0.000000,2.125000,2.041667,2.041667,0.597411,21600
1980-05-01,0.000000,2.125000,2.041667,2.041667,0.597411,800
1980-05-02,0.000000,2.125000,2.041667,2.041667,0.597411,2400
1980-05-05,0.000000,2.125000,2.041667,2.041667,0.597411,5600
1980-05-06,0.000000,2.145833,2.062500,2.062500,0.603508,36000
1980-05-07,0.000000,2.166667,2.083333,2.083333,0.609603,56000
1980-05-08,0.000000,2.145833,2.062500,2.062500,0.603508,7200
1980-05-09,0.000000,2.145833,2.062500,2.062500,0.603508,24800
1980-05-12,0.000000,2.104167,2.020833,2.020833,0.591315,27200
1980-05-13,0.000000,2.083333,2.000000,2.000000,0.585219,75200
1980-05-14,0.000000,2.083333,2.000000,2.000000,0.585219,4800
1980-05-15,0.000000,2.083333,2.000000,2.000000,0.585219,7200
1980-05-16,0.000000,2.083333,2.000000,2.000000,0.585219,24000
1980-05-19,0.000000,2.083333,2.000000,2.000000,0.585219,10400
1980-05-20,0.000000,2.062500,1.979167,1.979167,0.579123,15200
1980-05-21,0.000000,1.979167,1.895833,1.895833,0.554739,63200
1980-05-22,0.000000,2.000000,1.916667,1.916667,0.560835,16800
1980-05-23,0.000000,2.041667,1.958333,1.958333,0.573027,45600
1980-05-27,1.958333,1.958333,1.958333,1.958333,0.573027,0
1980-05-28,0.000000,2.041667,1.958333,1.958333,0.573027,3200
1980-05-29,0.000000,2.020833,1.937500,1.937500,0.566931,12800
1980-05-30,0.000000,2.000000,1.916667,1.916667,0.560835,60000
1980-06-02,0.000000,2.000000,1.916667,1.916667,0.560835,12000
1980-06-03,0.000000,2.000000,1.916667,1.916667,0.560835,14400
1980-06-04,0.000000,2.000000,1.916667,1.916667,0.560835,27200
1980-06-05,0.000000,2.000000,1.916667,1.916667,0.560835,3200
1980-06-06,0.000000,2.000000,1.916667,1.916667,0.560835,15200
1980-06-09,0.000000,2.000000,1.916667,1.916667,0.560835,41600
1980-06-10,0.000000,2.041667,1.958333,1.958333,0.573027,34400
1980-06-11,0.000000,2.062500,1.979167,1.979167,0.579123,24800
1980-06-12,0.000000,2.062500,1.979167,1.979167,0.579123,146400
1980-06-13,0.000000,2.125000,2.041667,2.041667,0.597411,56000
1980-06-16,0.000000,2.145833,2.062500,2.062500,0.603508,26400
1980-06-17,0.000000,2.166667,2.083333,2.083333,0.609603,3200
1980-06-18,0.000000,2.166667,2.083333,2.083333,0.609603,17600
1980-06-19,0.000000,2.145833,2.062500,2.062500,0.603508,12800
1980-06-20,0.000000,2.145833,2.062500,2.062500,0.603508,46400
1980-06-23,0.000000,2.145833,2.062500,2.062500,0.603508,60800
1980-06-24,2.062500,2.062500,2.062500,2.062500,0.603508,0
1980-06-25,0.000000,2.125000,2.041667,2.041667,0.597411,24800
1980-06-26,2.041667,2.041667,2.041667,2.041667,0.597411,0
1980-06-27,0.000000,2.104167,2.020833,2.020833,0.591315,5600
1980-06-30,0.000000,2.083333,2.000000,2.000000,0.585219,16800
1980-07-01,0.000000,2.062500,1.979167,1.979167,0.579123,24000
1980-07-02,0.000000,2.062500,1.979167,1.979167,0.579123,14400
1980-07-03,0.000000,2.041667,1.958333,1.958333,0.573027,53600
1980-07-07,0.000000,2.041667,1.979167,1.979167,0.579123,36800
1980-07-08,0.000000,2.041667,2.000000,2.000000,0.585219,12800
1980-07-09,0.000000,2.041667,2.000000,2.000000,0.585219,9600
1980-07-10,0.000000,2.041667,2.000000,2.000000,0.585219,60800
1980-07-11,0.000000,2.041667,2.000000,2.000000,0.585219,9600
1980-07-14,0.000000,2.020833,2.000000,2.000000,0.585219,20000
1980-07-15,0.000000,2.020833,2.000000,2.000000,0.585219,4800
1980-07-16,2.000000,2.000000,2.000000,2.000000,0.585219,0
1980-07-17,0.000000,2.020833,2.000000,2.000000,0.585219,24000
1980-07-18,0.000000,2.041667,2.000000,2.000000,0.585219,32000
1980-07-21,2.000000,2.000000,2.000000,2.000000,0.585219,0
1980-07-22,0.000000,2.041667,2.020833,2.020833,0.591315,108000
1980-07-23,0.000000,2.020833,2.000000,2.000000,0.585219,96800
1980-07-24,0.000000,2.020833,1.979167,1.979167,0.579123,5600
1980-07-25,0.000000,2.020833,1.979167,1.979167,0.579123,24800
1980-07-28,0.000000,2.020833,1.979167,1.979167,0.579123,2400
1980-07-29,0.000000,2.020833,1.979167,1.979167,0.579123,4800
1980-07-30,0.000000,2.020833,1.979167,1.979167,0.579123,14400
1980-07-31,0.000000,2.000000,1.958333,1.958333,0.573027,52800
1980-08-01,0.000000,2.020833,1.979167,1.979167,0.579123,48000
1980-08-04,0.000000,1.979167,1.937500,1.937500,0.566931,72000
1980-08-05,1.937500,1.937500,1.937500,1.937500,0.566931,0
1980-08-06,0.000000,1.979167,1.937500,1.937500,0.566931,52800
1980-08-07,0.000000,2.020833,1.958333,1.958333,0.573027,44000
1980-08-08,0.000000,2.041667,2.000000,2.000000,0.585219,36000
1980-08-11,0.000000,2.041667,2.000000,2.000000,0.585219,5600
1980-08-12,0.000000,2.041667,2.000000,2.000000,0.585219,12800
1980-08-13,0.000000,2.083333,2.041667,2.041667,0.597411,28800
1980-08-14,0.000000,2.145833,2.083333,2.083333,0.609603,29600
1980-08-15,0.000000,2.145833,2.104167,2.104167,0.615700,20000
1980-08-18,0.000000,2.125000,2.062500,2.062500,0.603508,34400
1980-08-19,0.000000,2.062500,2.020833,2.020833,0.591315,16800
1980-08-20,0.000000,2.041667,2.000000,2.000000,0.585219,12800
1980-08-21,0.000000,2.041667,2.000000,2.000000,0.585219,5600
1980-08-22,0.000000,2.062500,2.020833,2.020833,0.591315,17600
1980-08-25,0.000000,2.041667,2.020833,2.020833,0.591315,4800
1980-08-26,0.000000,2.041667,2.000000,2.000000,0.585219,351200
1980-08-27,0.000000,2.020833,2.000000,2.000000,0.585219,53600
1980-08-28,0.000000,2.020833,2.000000,2.000000,0.585219,569600
1980-08-29,0.000000,2.041667,2.000000,2.000000,0.585219,3200
1980-09-02,0.000000,2.041667,2.000000,2.000000,0.585219,4800
1980-09-03,0.000000,2.083333,2.041667,2.041667,0.597411,38400
1980-09-04,0.000000,2.104167,2.083333,2.083333,0.609603,34400
1980-09-05,0.000000,2.125000,2.083333,2.083333,0.609603,2400
1980-09-08,0.000000,2.125000,2.083333,2.083333,0.609603,92000
1980-09-09,0.000000,2.125000,2.083333,2.083333,0.609603,800
1980-09-10,0.000000,2.125000,2.083333,2.083333,0.609603,14400
1980-09-11,0.000000,2.125000,2.083333,2.083333,0.609603,2400
1980-09-12,0.000000,2.125000,2.083333,2.083333,0.609603,800
1980-09-15,0.000000,2.125000,2.083333,2.083333,0.609603,31200
1980-09-16,0.000000,2.145833,2.104167,2.104167,0.615700,20000
1980-09-17,2.104167,2.104167,2.104167,2.104167,0.615700,0
1980-09-18,0.000000,2.166667,2.125000,2.125000,0.621795,14400
1980-09-19,0.000000,2.166667,2.125000,2.125000,0.621795,800
1980-09-22,0.000000,2.166667,2.125000,2.125000,0.621795,24000
1980-09-23,0.000000,2.166667,2.125000,2.125000,0.621795,55200
1980-09-24,0.000000,2.187500,2.145833,2.145833,0.627891,38400
1980-09-25,0.000000,2.187500,2.145833,2.145833,0.627891,3200
1980-09-26,0.000000,2.166667,2.145833,2.145833,0.627891,20000
1980-09-29,0.000000,2.166667,2.125000,2.125000,0.621795,12800
1980-09-30,0.000000,2.166667,2.104167,2.104167,0.615700,32000
1980-10-01,0.000000,2.145833,2.104167,2.104167,0.615700,40800
1980-10-02,0.000000,2.166667,2.125000,2.125000,0.621795,20000
1980-10-03,0.000000,2.187500,2.145833,2.145833,0.627891,21600
1980-10-06,0.000000,2.208333,2.145833,2.145833,0.627891,28800
1980-10-07,0.000000,2.229167,2.187500,2.187500,0.640083,39200
1980-10-08,0.000000,2.208333,2.187500,2.187500,0.640083,5600
1980-10-09,0.000000,2.229167,2.187500,2.187500,0.640083,2400
1980-10-10,0.000000,2.250000,2.208333,2.208333,0.646180,17600
1980-10-13,0.000000,2.250000,2.229167,2.229167,0.652276,17600
1980-10-14,0.000000,2.291667,2.229167,2.229167,0.652276,36000
1980-10-15,0.000000,2.291667,2.270833,2.270833,0.664467,14400
1980-10-16,0.000000,2.333333,2.270833,2.270833,0.664467,16800
1980-10-17,0.000000,2.270833,2.250000,2.250000,0.658372,50400
1980-10-20,0.000000,2.250000,2.208333,2.208333,0.646180,76800
1980-10-21,0.000000,2.250000,2.208333,2.208333,0.646180,14400
1980-10-22,0.000000,2.229167,2.187500,2.187500,0.640083,31200
1980-10-23,0.000000,2.208333,2.166667,2.166667,0.633987,20000
1980-10-24,0.000000,2.208333,2.145833,2.145833,0.627891,12800
1980-10-27,0.000000,2.208333,2.145833,2.145833,0.627891,3200
1980-10-28,0.000000,2.187500,2.145833,2.145833,0.627891,12000
1980-10-29,0.000000,2.208333,2.145833,2.145833,0.627891,2400
1980-10-30,0.000000,2.145833,2.104167,2.104167,0.615700,58400
1980-10-31,0.000000,2.145833,2.104167,2.104167,0.615700,44000
1980-11-03,0.000000,2.166667,2.125000,2.125000,0.621795,38400
1980-11-05,0.000000,2.166667,2.145833,2.145833,0.627891,33600
1980-11-06,0.000000,2.145833,2.125000,2.125000,0.621795,14400
1980-11-07,0.000000,2.145833,2.104167,2.104167,0.615700,800
1980-11-10,0.000000,2.125000,2.104167,2.104167,0.615700,14400
1980-11-11,0.000000,2.145833,2.104167,2.104167,0.615700,19200
1980-11-12,0.000000,2.208333,2.166667,2.166667,0.633987,64800
1980-11-13,0.000000,2.208333,2.166667,2.166667,0.633987,2400
1980-11-14,0.000000,2.229167,2.187500,2.187500,0.640083,24000
1980-11-17,0.000000,2.229167,2.166667,2.166667,0.633987,77600
1980-11-18,0.000000,2.270833,2.229167,2.229167,0.652276,168800
1980-11-19,0.000000,2.312500,2.250000,2.250000,0.658372,28800
1980-11-20,0.000000,2.333333,2.291667,2.291667,0.670564,26400
1980-11-21,0.000000,2.375000,2.333333,2.333333,0.682756,15200
1980-11-24,0.000000,2.375000,2.312500,2.312500,0.676660,8000
1980-11-25,0.000000,2.375000,2.312500,2.312500,0.676660,8000
1980-11-26,0.000000,2.375000,2.333333,2.333333,0.682756,10400
1980-11-28,0.000000,2.375000,2.333333,2.333333,0.682756,4800
1980-12-01,0.000000,2.375000,2.291667,2.291667,0.670564,28800
1980-12-02,0.000000,2.354167,2.291667,2.291667,0.670564,24800
1980-12-03,0.000000,2.375000,2.291667,2.291667,0.670564,4800
1980-12-04,0.000000,2.375000,2.312500,2.312500,0.676660,12800
1980-12-05,0.000000,2.375000,2.312500,2.312500,0.676660,12800
1980-12-08,0.000000,2.375000,2.312500,2.312500,0.676660,3200
1980-12-09,0.000000,2.333333,2.312500,2.312500,0.676660,76800
1980-12-10,0.000000,2.333333,2.291667,2.291667,0.670564,2400
1980-12-11,0.000000,2.291667,2.229167,2.229167,0.652276,36800
1980-12-12,0.000000,2.291667,2.229167,2.229167,0.652276,118400
1980-12-15,0.000000,2.291667,2.250000,2.250000,0.658372,29600
1980-12-16,0.000000,2.291667,2.250000,2.250000,0.658372,10400
1980-12-17,0.000000,2.291667,2.250000,2.250000,0.658372,3200
1980-12-18,0.000000,2.354167,2.291667,2.291667,0.670564,152000
1980-12-19,0.000000,2.437500,2.395833,2.395833,0.701044,113600
1980-12-22,0.000000,2.479167,2.437500,2.437500,0.713236,8000
1980-12-23,0.000000,2.500000,2.458333,2.458333,0.719332,53600
1980-12-24,0.000000,2.500000,2.458333,2.458333,0.719332,69600
1980-12-26,0.000000,2.500000,2.458333,2.458333,0.719332,5600
1980-12-29,0.000000,2.583333,2.520833,2.520833,0.737620,46400
1980-12-30,0.000000,2.604167,2.541667,2.541667,0.743716,93600
1980-12-31,0.000000,2.666667,2.604167,2.604167,0.762004,57600
1981-01-02,0.000000,2.666667,2.604167,2.604167,0.762004,2400
1981-01-05,0.000000,2.666667,2.604167,2.604167,0.762004,15200
1981-01-06,0.000000,2.750000,2.687500,2.687500,0.786388,75200
1981-01-07,0.000000,2.666667,2.645833,2.645833,0.774196,51200
1981-01-08,0.000000,2.708333,2.666667,2.666667,0.780292,122400
1981-01-09,0.000000,2.729167,2.666667,2.666667,0.780292,33600
1981-01-12,0.000000,2.708333,2.666667,2.666667,0.780292,19200
1981-01-13,0.000000,2.708333,2.666667,2.666667,0.780292,72000
1981-01-14,0.000000,2.729167,2.666667,2.666667,0.780292,19200
1981-01-15,2.666667,2.666667,2.666667,2.666667,0.780292,0
1981-01-16,0.000000,2.729167,2.687500,2.687500,0.786388,10400
